id,site_id,name,utm_code,started_at,ended_at
1,1,Campaign Twitter SOCIAL Q3,utm_source=twitter&utm_medium=social&utm_campaign=run_1_1,2026-05-31 05:41:06,2026-06-08 20:57:32
2,1,Campaign Newsletter SOCIAL Q3,utm_source=newsletter&utm_medium=social&utm_campaign=run_1_2,2026-06-03 20:45:31,
3,2,Campaign Newsletter CPC Q1,utm_source=newsletter&utm_medium=cpc&utm_campaign=run_2_1,2026-06-01 16:39:10,
4,2,Campaign Google SOCIAL Q2,utm_source=google&utm_medium=social&utm_campaign=run_2_2,2026-06-03 23:21:23,
5,3,Campaign Google EMAIL Q1,utm_source=google&utm_medium=email&utm_campaign=run_3_1,2026-06-01 03:59:49,2026-06-07 11:05:53
6,3,Campaign Twitter AFFILIATE Q4,utm_source=twitter&utm_medium=affiliate&utm_campaign=run_3_2,2026-05-30 00:02:47,2026-06-05 22:46:06
7,4,Campaign Linkedin SOCIAL Q2,utm_source=linkedin&utm_medium=social&utm_campaign=run_4_1,2026-06-09 10:38:39,2026-06-18 08:52:50
8,4,Campaign Partner SOCIAL Q1,utm_source=partner&utm_medium=social&utm_campaign=run_4_2,2026-06-01 05:01:38,2026-06-05 02:52:11
9,5,Campaign Facebook CPC Q3,utm_source=facebook&utm_medium=cpc&utm_campaign=run_5_1,2026-06-08 22:18:35,2026-06-12 22:47:47
10,5,Campaign Facebook EMAIL Q3,utm_source=facebook&utm_medium=email&utm_campaign=run_5_2,2026-05-30 22:18:07,2026-06-07 13:21:27
11,6,Campaign Partner DISPLAY Q2,utm_source=partner&utm_medium=display&utm_campaign=run_6_1,2026-06-05 10:49:01,2026-06-12 00:45:40
12,6,Campaign Google CPC Q2,utm_source=google&utm_medium=cpc&utm_campaign=run_6_2,2026-05-30 05:41:41,2026-06-07 08:21:18
13,7,Campaign Google DISPLAY Q1,utm_source=google&utm_medium=display&utm_campaign=run_7_1,2026-06-05 09:32:36,2026-06-09 23:42:35
14,7,Campaign Partner SOCIAL Q3,utm_source=partner&utm_medium=social&utm_campaign=run_7_2,2026-05-29 02:21:59,
15,8,Campaign Facebook DISPLAY Q2,utm_source=facebook&utm_medium=display&utm_campaign=run_8_1,2026-05-31 08:25:37,
16,8,Campaign Partner SOCIAL Q3,utm_source=partner&utm_medium=social&utm_campaign=run_8_2,2026-06-03 01:55:31,2026-06-10 10:11:23
17,9,Campaign Twitter SOCIAL Q1,utm_source=twitter&utm_medium=social&utm_campaign=run_9_1,2026-06-05 19:17:09,2026-06-14 15:24:05
18,9,Campaign Newsletter SOCIAL Q3,utm_source=newsletter&utm_medium=social&utm_campaign=run_9_2,2026-05-31 08:08:02,
19,10,Campaign Facebook SOCIAL Q4,utm_source=facebook&utm_medium=social&utm_campaign=run_10_1,2026-05-29 13:25:44,2026-06-08 02:28:52
20,10,Campaign Newsletter DISPLAY Q1,utm_source=newsletter&utm_medium=display&utm_campaign=run_10_2,2026-06-04 02:41:07,
21,11,Campaign Twitter DISPLAY Q2,utm_source=twitter&utm_medium=display&utm_campaign=run_11_1,2026-06-05 14:18:32,2026-06-11 01:00:56
22,11,Campaign Linkedin AFFILIATE Q4,utm_source=linkedin&utm_medium=affiliate&utm_campaign=run_11_2,2026-06-03 13:22:49,2026-06-07 23:19:29
23,12,Campaign Google DISPLAY Q2,utm_source=google&utm_medium=display&utm_campaign=run_12_1,2026-06-07 15:36:49,
24,12,Campaign Partner AFFILIATE Q2,utm_source=partner&utm_medium=affiliate&utm_campaign=run_12_2,2026-06-06 22:48:57,2026-06-12 04:26:23
25,13,Campaign Linkedin DISPLAY Q4,utm_source=linkedin&utm_medium=display&utm_campaign=run_13_1,2026-06-02 09:50:46,
26,13,Campaign Partner AFFILIATE Q2,utm_source=partner&utm_medium=affiliate&utm_campaign=run_13_2,2026-06-03 20:07:58,2026-06-08 21:58:11
27,14,Campaign Partner CPC Q3,utm_source=partner&utm_medium=cpc&utm_campaign=run_14_1,2026-05-29 04:41:45,
28,14,Campaign Twitter CPC Q2,utm_source=twitter&utm_medium=cpc&utm_campaign=run_14_2,2026-05-31 02:51:13,2026-06-09 12:33:12
29,15,Campaign Facebook DISPLAY Q3,utm_source=facebook&utm_medium=display&utm_campaign=run_15_1,2026-05-29 16:47:51,2026-06-07 11:45:14
30,15,Campaign Linkedin CPC Q4,utm_source=linkedin&utm_medium=cpc&utm_campaign=run_15_2,2026-06-04 12:28:59,2026-06-10 12:52:54
31,16,Campaign Newsletter SOCIAL Q2,utm_source=newsletter&utm_medium=social&utm_campaign=run_16_1,2026-06-07 13:14:03,
32,16,Campaign Google AFFILIATE Q2,utm_source=google&utm_medium=affiliate&utm_campaign=run_16_2,2026-06-01 10:57:46,
33,17,Campaign Facebook AFFILIATE Q3,utm_source=facebook&utm_medium=affiliate&utm_campaign=run_17_1,2026-05-31 07:24:12,2026-06-05 16:40:08
34,17,Campaign Partner DISPLAY Q4,utm_source=partner&utm_medium=display&utm_campaign=run_17_2,2026-06-01 23:58:45,2026-06-10 13:20:07
35,18,Campaign Linkedin EMAIL Q1,utm_source=linkedin&utm_medium=email&utm_campaign=run_18_1,2026-06-04 05:17:29,
36,18,Campaign Google CPC Q4,utm_source=google&utm_medium=cpc&utm_campaign=run_18_2,2026-06-04 16:31:43,2026-06-13 11:01:02
37,19,Campaign Twitter CPC Q1,utm_source=twitter&utm_medium=cpc&utm_campaign=run_19_1,2026-06-04 09:17:17,2026-06-08 00:10:06
38,19,Campaign Twitter DISPLAY Q2,utm_source=twitter&utm_medium=display&utm_campaign=run_19_2,2026-06-03 21:38:27,
39,20,Campaign Facebook DISPLAY Q3,utm_source=facebook&utm_medium=display&utm_campaign=run_20_1,2026-06-04 14:36:44,2026-06-14 01:00:31
40,20,Campaign Facebook AFFILIATE Q1,utm_source=facebook&utm_medium=affiliate&utm_campaign=run_20_2,2026-06-02 23:36:12,2026-06-07 12:08:31
41,21,Campaign Google CPC Q3,utm_source=google&utm_medium=cpc&utm_campaign=run_21_1,2026-06-05 23:06:54,2026-06-11 18:39:26
42,21,Campaign Google DISPLAY Q3,utm_source=google&utm_medium=display&utm_campaign=run_21_2,2026-06-04 05:03:53,
43,22,Campaign Newsletter EMAIL Q2,utm_source=newsletter&utm_medium=email&utm_campaign=run_22_1,2026-06-06 00:13:58,
44,22,Campaign Partner CPC Q4,utm_source=partner&utm_medium=cpc&utm_campaign=run_22_2,2026-06-06 22:10:58,
45,23,Campaign Partner EMAIL Q4,utm_source=partner&utm_medium=email&utm_campaign=run_23_1,2026-05-30 19:05:42,
46,23,Campaign Newsletter AFFILIATE Q3,utm_source=newsletter&utm_medium=affiliate&utm_campaign=run_23_2,2026-06-03 04:50:40,2026-06-07 09:08:56
47,24,Campaign Newsletter DISPLAY Q3,utm_source=newsletter&utm_medium=display&utm_campaign=run_24_1,2026-06-07 10:53:50,
48,24,Campaign Linkedin CPC Q3,utm_source=linkedin&utm_medium=cpc&utm_campaign=run_24_2,2026-06-02 16:36:02,2026-06-11 04:40:33
49,25,Campaign Partner DISPLAY Q3,utm_source=partner&utm_medium=display&utm_campaign=run_25_1,2026-06-01 04:56:10,2026-06-08 11:57:43
50,25,Campaign Facebook DISPLAY Q2,utm_source=facebook&utm_medium=display&utm_campaign=run_25_2,2026-06-03 03:06:37,
51,26,Campaign Linkedin CPC Q2,utm_source=linkedin&utm_medium=cpc&utm_campaign=run_26_1,2026-05-28 19:02:03,2026-06-06 13:02:45
52,26,Campaign Newsletter SOCIAL Q1,utm_source=newsletter&utm_medium=social&utm_campaign=run_26_2,2026-06-05 14:58:56,2026-06-13 07:02:39
53,27,Campaign Google AFFILIATE Q1,utm_source=google&utm_medium=affiliate&utm_campaign=run_27_1,2026-06-08 13:27:04,2026-06-15 16:27:51
54,27,Campaign Google DISPLAY Q1,utm_source=google&utm_medium=display&utm_campaign=run_27_2,2026-06-02 12:59:50,
