id,variant_id,warehouse_code,quantity_on_hand,updated_at
1,1,WH-EAST,78,2026-06-10 09:54:25
1,1,WH-WEST,108,2026-06-10 12:54:25
1,1,WH-CENTRAL,109,2026-06-10 18:54:25
2,2,WH-EAST,63,2026-06-09 15:54:25
2,2,WH-WEST,28,2026-06-09 23:54:25
2,2,WH-CENTRAL,82,2026-06-10 04:54:25
3,3,WH-EAST,30,2026-06-11 01:54:25
3,3,WH-WEST,0,2026-06-12 13:54:25
3,3,WH-CENTRAL,0,2026-06-11 11:54:25
4,4,WH-EAST,98,2026-06-11 09:54:25
4,4,WH-WEST,108,2026-06-10 22:54:25
4,4,WH-CENTRAL,82,2026-06-10 11:54:25
5,5,WH-EAST,77,2026-06-10 18:54:25
5,5,WH-WEST,90,2026-06-09 15:54:25
5,5,WH-CENTRAL,59,2026-06-09 15:54:25
6,6,WH-EAST,116,2026-06-12 03:54:25
6,6,WH-WEST,17,2026-06-12 03:54:25
6,6,WH-CENTRAL,81,2026-06-12 00:54:25
7,7,WH-EAST,0,2026-06-12 06:54:25
7,7,WH-WEST,27,2026-06-11 18:54:25
7,7,WH-CENTRAL,116,2026-06-11 15:54:25
8,8,WH-EAST,33,2026-06-11 14:54:25
8,8,WH-WEST,46,2026-06-12 01:54:25
8,8,WH-CENTRAL,28,2026-06-10 15:54:25
9,9,WH-EAST,23,2026-06-11 23:54:25
9,9,WH-WEST,101,2026-06-10 03:54:25
9,9,WH-CENTRAL,43,2026-06-10 09:54:25
10,10,WH-EAST,48,2026-06-12 10:54:25
10,10,WH-WEST,0,2026-06-10 20:54:25
10,10,WH-CENTRAL,37,2026-06-10 23:54:25
11,11,WH-EAST,113,2026-06-11 01:54:25
11,11,WH-WEST,37,2026-06-09 22:54:25
11,11,WH-CENTRAL,11,2026-06-12 00:54:25
12,12,WH-EAST,22,2026-06-11 03:54:25
12,12,WH-WEST,11,2026-06-12 09:54:25
12,12,WH-CENTRAL,102,2026-06-11 09:54:25
13,13,WH-EAST,40,2026-06-11 20:54:25
13,13,WH-WEST,0,2026-06-11 15:54:25
13,13,WH-CENTRAL,86,2026-06-11 01:54:25
14,14,WH-EAST,82,2026-06-09 17:54:25
14,14,WH-WEST,38,2026-06-11 02:54:25
14,14,WH-CENTRAL,25,2026-06-11 13:54:25
15,15,WH-EAST,12,2026-06-10 21:54:25
15,15,WH-WEST,34,2026-06-12 13:54:25
