id,product_id,attr_key,attr_value
1,1,Water Resistance,IP67 Certified
2,1,Warranty,Lifetime Warranty
3,2,Eco-Friendly,No
4,2,Country of Origin,Imported
5,3,Country of Origin,Assembled in USA
6,3,Material,Premium Leather
7,3,Eco-Friendly,Yes
8,4,Eco-Friendly,No
9,4,Warranty,2 Year Manufacturer
10,5,Country of Origin,Imported
11,5,Material,Stainless Steel
12,5,Warranty,2 Year Manufacturer
13,6,Water Resistance,30m Atmospheric
14,6,Eco-Friendly,Yes
15,7,Warranty,1 Year Limited
16,7,Material,Aluminum
17,8,Warranty,2 Year Manufacturer
18,9,Warranty,2 Year Manufacturer
19,10,Country of Origin,Assembled in USA
20,10,Warranty,1 Year Limited
21,11,Material,Premium Leather
22,12,Material,Recycled Plastic
23,13,Warranty,1 Year Limited
24,14,Eco-Friendly,No
25,14,Country of Origin,Assembled in USA
26,15,Material,Aluminum
27,15,Eco-Friendly,Yes
28,16,Eco-Friendly,Yes
29,16,Warranty,Lifetime Warranty
30,17,Eco-Friendly,No
31,18,Country of Origin,Assembled in USA
32,18,Warranty,Lifetime Warranty
33,18,Water Resistance,30m Atmospheric
34,19,Country of Origin,Assembled in USA
35,19,Material,Premium Leather
36,20,Country of Origin,Assembled in USA
37,20,Eco-Friendly,No
38,21,Eco-Friendly,Yes
39,22,Material,Aluminum
40,22,Country of Origin,Imported
41,22,Eco-Friendly,Yes
42,23,Country of Origin,Imported
43,23,Eco-Friendly,Yes
44,24,Country of Origin,Imported
45,25,Eco-Friendly,Yes
46,25,Water Resistance,30m Atmospheric
47,25,Country of Origin,Assembled in USA
48,26,Water Resistance,IP67 Certified
49,26,Country of Origin,Assembled in USA
50,27,Warranty,Lifetime Warranty
51,28,Warranty,2 Year Manufacturer
52,29,Country of Origin,Imported
53,29,Water Resistance,IP67 Certified
54,29,Warranty,1 Year Limited
55,30,Material,Premium Leather
56,30,Warranty,2 Year Manufacturer
57,31,Warranty,1 Year Limited
58,31,Material,Stainless Steel
59,31,Country of Origin,Assembled in USA
60,32,Eco-Friendly,No
61,33,Material,100% Cotton
62,33,Warranty,Lifetime Warranty
63,34,Water Resistance,30m Atmospheric
64,35,Water Resistance,None
65,35,Country of Origin,Assembled in USA
66,36,Warranty,Lifetime Warranty
67,36,Material,Premium Leather
68,36,Eco-Friendly,No
69,37,Water Resistance,None
70,38,Eco-Friendly,Yes
71,39,Country of Origin,Imported
72,40,Warranty,2 Year Manufacturer
73,40,Country of Origin,Imported
