id,product_id,variant_sku,color,size,price_cents,weight_grams
1,1,PROD-991-0001-VAR1,Crimson,XL,17623,3053
2,1,PROD-991-0001-VAR2,Navy Blue,S,15123,3938
3,1,PROD-991-0001-VAR3,Crimson,S,15123,955
4,2,PROD-304-0002-VAR1,Slate Gray,XS,16758,3612
5,2,PROD-304-0002-VAR2,Black,XXL,14258,4242
6,2,PROD-304-0002-VAR3,Slate Gray,S,16758,3863
7,2,PROD-304-0002-VAR4,Crimson,XL,14258,1739
8,3,PROD-225-0003-VAR1,Crimson,M,17375,1888
9,3,PROD-225-0003-VAR2,White,XL,18375,2232
10,3,PROD-225-0003-VAR3,Silver,M,17375,2031
11,4,PROD-865-0004-VAR1,Black,One-Size,23124,1514
12,4,PROD-865-0004-VAR2,Navy Blue,M,22624,337
13,4,PROD-865-0004-VAR3,White,XL,24124,571
14,5,PROD-462-0005-VAR1,White,M,18207,3591
15,5,PROD-462-0005-VAR2,Silver,L,15207,3596
16,6,PROD-653-0006-VAR1,Crimson,S,22069,3367
17,6,PROD-653-0006-VAR2,Olive Green,XL,21069,2934
18,7,PROD-916-0007-VAR1,Crimson,One-Size,22696,2259
19,7,PROD-916-0007-VAR2,Olive Green,XXL,21196,914
20,7,PROD-916-0007-VAR3,Slate Gray,One-Size,21196,1167
21,7,PROD-916-0007-VAR4,White,S,24196,737
22,8,PROD-786-0008-VAR1,White,L,9837,2397
23,8,PROD-786-0008-VAR2,White,M,7337,4477
24,8,PROD-786-0008-VAR3,Crimson,M,7337,2997
25,9,PROD-546-0009-VAR1,White,XL,17139,2631
26,9,PROD-546-0009-VAR2,Navy Blue,XXL,19639,1041
27,10,PROD-115-0010-VAR1,White,XS,9891,3758
28,10,PROD-115-0010-VAR2,Navy Blue,L,9891,1617
29,10,PROD-115-0010-VAR3,Navy Blue,One-Size,9391,4013
30,10,PROD-115-0010-VAR4,Olive Green,XXL,9391,938
31,10,PROD-115-0010-VAR5,Silver,S,12391,3194
32,11,PROD-181-0011-VAR1,Black,One-Size,1526,1875
33,11,PROD-181-0011-VAR2,Silver,One-Size,2026,4423
34,11,PROD-181-0011-VAR3,White,XS,3026,1012
35,12,PROD-369-0012-VAR1,Slate Gray,One-Size,17856,2089
36,12,PROD-369-0012-VAR2,Navy Blue,XXL,18356,1452
37,13,PROD-930-0013-VAR1,White,M,21630,4459
38,13,PROD-930-0013-VAR2,Crimson,L,23130,2631
39,13,PROD-930-0013-VAR3,Silver,L,24630,1478
40,13,PROD-930-0013-VAR4,Navy Blue,S,23130,1460
41,14,PROD-580-0014-VAR1,Navy Blue,M,10597,4251
42,14,PROD-580-0014-VAR2,Slate Gray,One-Size,11597,4071
43,14,PROD-580-0014-VAR3,Silver,L,10597,1756
44,14,PROD-580-0014-VAR4,Silver,XS,10097,995
45,14,PROD-580-0014-VAR5,Crimson,One-Size,10597,2036
46,15,PROD-597-0015-VAR1,Black,M,20678,1851
47,15,PROD-597-0015-VAR2,Crimson,XXL,20678,1976
48,15,PROD-597-0015-VAR3,Olive Green,XXL,20678,4059
49,16,PROD-551-0016-VAR1,Navy Blue,L,19446,1693
50,16,PROD-551-0016-VAR2,Crimson,S,20946,1416
51,17,PROD-924-0017-VAR1,White,XL,7148,2509
52,17,PROD-924-0017-VAR2,Crimson,L,10148,1705
53,17,PROD-924-0017-VAR3,Olive Green,S,7648,384
54,17,PROD-924-0017-VAR4,Black,S,10148,178
55,17,PROD-924-0017-VAR5,Silver,XL,8648,2067
56,18,PROD-376-0018-VAR1,Olive Green,One-Size,25736,3214
57,18,PROD-376-0018-VAR2,Slate Gray,XXL,25736,1269
58,18,PROD-376-0018-VAR3,Navy Blue,XS,25736,2187
59,19,PROD-675-0019-VAR1,Black,One-Size,20539,385
60,19,PROD-675-0019-VAR2,Silver,XXL,23039,4201
61,19,PROD-675-0019-VAR3,Black,One-Size,20039,4147
62,19,PROD-675-0019-VAR4,Olive Green,M,20539,1734
63,19,PROD-675-0019-VAR5,Navy Blue,XXL,23039,2248
64,20,PROD-646-0020-VAR1,Crimson,L,16738,926
65,20,PROD-646-0020-VAR2,Black,One-Size,16238,3112
66,20,PROD-646-0020-VAR3,Olive Green,L,19238,1073
67,20,PROD-646-0020-VAR4,Slate Gray,XXL,19238,3067
68,21,PROD-349-0021-VAR1,White,M,4136,1528
69,21,PROD-349-0021-VAR2,Black,L,1636,371
70,21,PROD-349-0021-VAR3,White,L,2636,165
71,21,PROD-349-0021-VAR4,White,L,4136,3514
72,22,PROD-316-0022-VAR1,Silver,L,18389,2139
73,22,PROD-316-0022-VAR2,Crimson,XXL,21389,4037
74,22,PROD-316-0022-VAR3,White,L,18389,3861
75,22,PROD-316-0022-VAR4,Crimson,S,21389,4288
76,22,PROD-316-0022-VAR5,Black,XL,19889,1227
77,23,PROD-149-0023-VAR1,Navy Blue,One-Size,3084,1472
78,23,PROD-149-0023-VAR2,Crimson,L,3084,260
79,24,PROD-561-0024-VAR1,White,L,24509,1714
80,24,PROD-561-0024-VAR2,Olive Green,L,27009,3832
81,24,PROD-561-0024-VAR3,Slate Gray,One-Size,24509,577
82,24,PROD-561-0024-VAR4,Slate Gray,XS,24509,4319
83,24,PROD-561-0024-VAR5,Olive Green,S,25509,2869
84,25,PROD-836-0025-VAR1,White,XL,21048,698
85,25,PROD-836-0025-VAR2,Navy Blue,L,22548,3428
86,25,PROD-836-0025-VAR3,Black,XL,21048,823
87,25,PROD-836-0025-VAR4,Navy Blue,One-Size,19548,3899
88,26,PROD-307-0026-VAR1,Silver,XS,15155,1679
89,26,PROD-307-0026-VAR2,Navy Blue,XXL,18155,2312
90,26,PROD-307-0026-VAR3,White,One-Size,15155,423
91,26,PROD-307-0026-VAR4,Navy Blue,M,16655,1069
92,27,PROD-921-0027-VAR1,White,L,15949,2519
93,27,PROD-921-0027-VAR2,Black,XL,15449,3335
94,27,PROD-921-0027-VAR3,Black,S,15949,358
95,27,PROD-921-0027-VAR4,Slate Gray,XL,15449,3537
96,27,PROD-921-0027-VAR5,Silver,XS,16949,1668
97,28,PROD-836-0028-VAR1,Black,XXL,3214,1803
98,28,PROD-836-0028-VAR2,Navy Blue,L,2214,3800
99,28,PROD-836-0028-VAR3,Slate Gray,XXL,2214,303
100,28,PROD-836-0028-VAR4,Olive Green,XL,3214,2172
101,28,PROD-836-0028-VAR5,White,XXL,3214,1754
102,29,PROD-129-0029-VAR1,White,S,11882,1456
103,29,PROD-129-0029-VAR2,White,M,14882,373
104,30,PROD-922-0030-VAR1,Silver,M,27174,2637
105,30,PROD-922-0030-VAR2,Black,XL,25674,991
106,30,PROD-922-0030-VAR3,Olive Green,L,25674,2658
107,30,PROD-922-0030-VAR4,Silver,L,25674,3271
108,30,PROD-922-0030-VAR5,Crimson,M,27174,1429
109,31,PROD-202-0031-VAR1,Navy Blue,S,5185,401
110,31,PROD-202-0031-VAR2,Slate Gray,XS,7685,973
111,31,PROD-202-0031-VAR3,Navy Blue,One-Size,5185,4192
112,31,PROD-202-0031-VAR4,Slate Gray,XL,4685,4055
113,31,PROD-202-0031-VAR5,Slate Gray,M,7685,794
114,32,PROD-803-0032-VAR1,Silver,XXL,7290,229
115,32,PROD-803-0032-VAR2,Navy Blue,M,6290,1666
116,32,PROD-803-0032-VAR3,Navy Blue,L,8790,1350
117,32,PROD-803-0032-VAR4,Black,XXL,6290,3460
118,32,PROD-803-0032-VAR5,Black,M,5790,263
119,33,PROD-653-0033-VAR1,Silver,L,16223,1325
120,33,PROD-653-0033-VAR2,Navy Blue,M,16223,1008
121,33,PROD-653-0033-VAR3,Navy Blue,XL,17723,2810
122,33,PROD-653-0033-VAR4,Black,XXL,16723,3777
123,34,PROD-233-0034-VAR1,Black,L,22665,1979
124,34,PROD-233-0034-VAR2,Crimson,XS,23165,1961
125,34,PROD-233-0034-VAR3,White,One-Size,25665,2689
126,34,PROD-233-0034-VAR4,Crimson,XL,24165,1357
127,35,PROD-754-0035-VAR1,Crimson,One-Size,23932,3457
128,35,PROD-754-0035-VAR2,White,XL,22432,667
129,35,PROD-754-0035-VAR3,Silver,M,20932,1996
130,35,PROD-754-0035-VAR4,White,S,21432,1603
131,36,PROD-183-0036-VAR1,Slate Gray,M,15845,1634
132,36,PROD-183-0036-VAR2,Navy Blue,XXL,13345,348
133,37,PROD-229-0037-VAR1,Crimson,One-Size,5142,1264
134,37,PROD-229-0037-VAR2,Olive Green,S,3642,3337
135,37,PROD-229-0037-VAR3,Black,One-Size,2142,1825
136,37,PROD-229-0037-VAR4,Silver,M,2142,1824
137,38,PROD-262-0038-VAR1,Slate Gray,XXL,23848,4136
138,38,PROD-262-0038-VAR2,Slate Gray,M,22348,839
139,39,PROD-715-0039-VAR1,Olive Green,M,11340,1661
140,39,PROD-715-0039-VAR2,Slate Gray,S,9840,1528
141,40,PROD-812-0040-VAR1,Silver,M,12740,177
142,40,PROD-812-0040-VAR2,Slate Gray,M,11740,491
143,40,PROD-812-0040-VAR3,Black,XS,14240,3656
144,40,PROD-812-0040-VAR4,White,M,12740,446
145,41,PROD-240-0041-VAR1,White,S,20088,4332
146,41,PROD-240-0041-VAR2,Olive Green,XL,20588,1276
147,41,PROD-240-0041-VAR3,Slate Gray,XS,23088,3253
148,41,PROD-240-0041-VAR4,Crimson,L,20088,4244
149,41,PROD-240-0041-VAR5,Navy Blue,XS,20588,3990
150,42,PROD-549-0042-VAR1,Crimson,M,19727,1545
151,42,PROD-549-0042-VAR2,Silver,XXL,19727,2316
152,42,PROD-549-0042-VAR3,Black,L,20227,1880
153,42,PROD-549-0042-VAR4,Crimson,M,19727,1887
154,43,PROD-257-0043-VAR1,White,XXL,15362,920
155,43,PROD-257-0043-VAR2,Navy Blue,XS,18362,3157
156,43,PROD-257-0043-VAR3,Olive Green,One-Size,15362,445
157,43,PROD-257-0043-VAR4,Olive Green,L,16862,2389
158,44,PROD-318-0044-VAR1,Navy Blue,L,19237,1881
159,44,PROD-318-0044-VAR2,White,XL,19237,3715
160,44,PROD-318-0044-VAR3,Black,S,20737,1162
161,44,PROD-318-0044-VAR4,Crimson,One-Size,19737,467
162,44,PROD-318-0044-VAR5,Olive Green,XL,19737,2971
163,45,PROD-352-0045-VAR1,White,XXL,18070,2513
164,45,PROD-352-0045-VAR2,Crimson,XS,18070,198
165,45,PROD-352-0045-VAR3,Olive Green,One-Size,19570,1738
166,45,PROD-352-0045-VAR4,Black,S,18070,3892
167,46,PROD-136-0046-VAR1,Black,L,21469,2319
168,46,PROD-136-0046-VAR2,Black,XXL,22969,2304
169,46,PROD-136-0046-VAR3,Crimson,XS,19969,3537
170,46,PROD-136-0046-VAR4,Olive Green,L,22969,2266
171,47,PROD-115-0047-VAR1,Olive Green,S,12736,2602
172,47,PROD-115-0047-VAR2,White,XXL,15236,289
173,48,PROD-332-0048-VAR1,Navy Blue,S,11567,2883
174,48,PROD-332-0048-VAR2,Silver,XS,14567,3346
175,48,PROD-332-0048-VAR3,White,XL,13067,1734
176,48,PROD-332-0048-VAR4,White,XXL,14567,2069
177,48,PROD-332-0048-VAR5,Slate Gray,One-Size,11567,4007
178,49,PROD-833-0049-VAR1,Olive Green,XXL,2473,3971
179,49,PROD-833-0049-VAR2,Crimson,XS,2473,3701
180,49,PROD-833-0049-VAR3,Silver,L,2473,2908
181,50,PROD-996-0050-VAR1,Olive Green,One-Size,6559,3277
182,50,PROD-996-0050-VAR2,White,L,6559,3617
183,50,PROD-996-0050-VAR3,Navy Blue,XS,8059,2031
184,50,PROD-996-0050-VAR4,Silver,XXL,6559,563
185,51,PROD-928-0051-VAR1,Navy Blue,L,12904,462
186,51,PROD-928-0051-VAR2,Crimson,XXL,15404,358
187,51,PROD-928-0051-VAR3,Crimson,S,13904,791
188,52,PROD-691-0052-VAR1,Black,XS,16095,1247
189,52,PROD-691-0052-VAR2,Navy Blue,One-Size,17595,1753
190,52,PROD-691-0052-VAR3,Navy Blue,S,17595,1424
191,52,PROD-691-0052-VAR4,Navy Blue,XL,17595,3036
192,53,PROD-115-0053-VAR1,Black,XS,5303,1767
193,53,PROD-115-0053-VAR2,Black,L,6803,1291
194,53,PROD-115-0053-VAR3,Silver,One-Size,3803,1758
195,54,PROD-127-0054-VAR1,Crimson,XS,12160,272
196,54,PROD-127-0054-VAR2,Olive Green,M,9660,1864
197,54,PROD-127-0054-VAR3,Black,S,9660,3416
198,54,PROD-127-0054-VAR4,White,M,9660,901
199,54,PROD-127-0054-VAR5,Olive Green,XXL,12160,263
200,55,PROD-863-0055-VAR1,Black,L,24102,277
201,55,PROD-863-0055-VAR2,Black,XL,25102,4413
202,56,PROD-672-0056-VAR1,Crimson,XS,10680,2401
203,56,PROD-672-0056-VAR2,Silver,M,10680,972
204,57,PROD-605-0057-VAR1,Slate Gray,XL,22869,1616
205,57,PROD-605-0057-VAR2,Olive Green,M,22869,2649
206,58,PROD-798-0058-VAR1,Silver,One-Size,12126,240
207,58,PROD-798-0058-VAR2,Navy Blue,One-Size,13626,4084
208,59,PROD-926-0059-VAR1,Olive Green,XS,12174,487
209,59,PROD-926-0059-VAR2,Olive Green,XL,13674,2499
210,59,PROD-926-0059-VAR3,Olive Green,XXL,12174,3905
211,59,PROD-926-0059-VAR4,Olive Green,XL,13674,1085
212,59,PROD-926-0059-VAR5,Olive Green,M,15174,3536
213,60,PROD-110-0060-VAR1,White,S,6343,551
214,60,PROD-110-0060-VAR2,Silver,XL,5843,253
215,60,PROD-110-0060-VAR3,Navy Blue,One-Size,7343,1743
216,60,PROD-110-0060-VAR4,Olive Green,XS,6343,4368
217,61,PROD-194-0061-VAR1,Slate Gray,XL,17637,344
218,61,PROD-194-0061-VAR2,Black,One-Size,20137,1729
219,61,PROD-194-0061-VAR3,Olive Green,S,18637,3247
220,62,PROD-568-0062-VAR1,Crimson,XXL,13156,505
221,62,PROD-568-0062-VAR2,Silver,M,11656,1928
222,63,PROD-552-0063-VAR1,Slate Gray,XXL,2056,4177
223,63,PROD-552-0063-VAR2,Olive Green,XXL,2556,305
224,63,PROD-552-0063-VAR3,White,XL,2056,3212
225,63,PROD-552-0063-VAR4,Silver,XL,2056,3144
226,64,PROD-935-0064-VAR1,Crimson,L,16601,1259
227,64,PROD-935-0064-VAR2,Slate Gray,XXL,13601,3741
228,64,PROD-935-0064-VAR3,White,XXL,15101,2042
229,64,PROD-935-0064-VAR4,White,XL,13601,1006
230,64,PROD-935-0064-VAR5,Slate Gray,XS,16601,1736
231,65,PROD-487-0065-VAR1,Black,XL,8348,3037
232,65,PROD-487-0065-VAR2,Olive Green,XXL,8348,1083
233,65,PROD-487-0065-VAR3,Black,XXL,7348,3870
234,65,PROD-487-0065-VAR4,Crimson,XS,9848,1309
235,65,PROD-487-0065-VAR5,Black,M,6848,1086
236,66,PROD-890-0066-VAR1,Slate Gray,L,20542,2977
237,66,PROD-890-0066-VAR2,Black,XL,20542,1087
238,66,PROD-890-0066-VAR3,Olive Green,XS,20542,1650
239,67,PROD-660-0067-VAR1,Black,XL,9844,3390
240,67,PROD-660-0067-VAR2,Olive Green,L,12344,1273
241,67,PROD-660-0067-VAR3,Olive Green,XXL,12344,3496
242,67,PROD-660-0067-VAR4,Silver,One-Size,9844,2845
243,67,PROD-660-0067-VAR5,Navy Blue,L,9344,1096
244,68,PROD-508-0068-VAR1,Crimson,L,15883,2801
245,68,PROD-508-0068-VAR2,Navy Blue,XS,12883,956
246,68,PROD-508-0068-VAR3,Black,One-Size,12883,4314
247,68,PROD-508-0068-VAR4,Slate Gray,XXL,13383,465
248,68,PROD-508-0068-VAR5,Black,S,13383,3591
249,69,PROD-498-0069-VAR1,Olive Green,S,21067,331
250,69,PROD-498-0069-VAR2,Crimson,L,23567,2015
251,70,PROD-189-0070-VAR1,Crimson,M,20602,4027
252,70,PROD-189-0070-VAR2,Black,M,19102,1318
253,70,PROD-189-0070-VAR3,Slate Gray,S,20602,2606
254,70,PROD-189-0070-VAR4,Navy Blue,XS,17602,4044
255,70,PROD-189-0070-VAR5,Crimson,XXL,17602,1519
256,71,PROD-437-0071-VAR1,Navy Blue,XS,12590,2525
257,71,PROD-437-0071-VAR2,Olive Green,XL,15090,3645
258,72,PROD-107-0072-VAR1,Olive Green,XXL,6879,3339
259,72,PROD-107-0072-VAR2,Navy Blue,XXL,4379,4352
260,72,PROD-107-0072-VAR3,Silver,XXL,5379,1972
261,72,PROD-107-0072-VAR4,Black,M,4379,564
262,73,PROD-148-0073-VAR1,Slate Gray,XXL,23703,415
263,73,PROD-148-0073-VAR2,Navy Blue,M,24203,2455
264,74,PROD-711-0074-VAR1,Silver,XS,13062,389
265,74,PROD-711-0074-VAR2,Silver,M,13062,3706
266,75,PROD-465-0075-VAR1,Crimson,M,8748,2645
267,75,PROD-465-0075-VAR2,Olive Green,S,7248,2847
268,75,PROD-465-0075-VAR3,White,L,8748,3041
269,75,PROD-465-0075-VAR4,Black,L,5748,2587
