id,page_id,tag_id
1,1,1243
2,1,335
3,1,301
4,1,1861
5,2,1549
6,2,346
7,2,1295
8,3,1080
9,3,483
10,3,1189
11,3,554
12,4,152
13,5,861
14,6,669
15,6,843
16,6,835
17,6,610
18,7,1183
19,7,1405
20,7,768
21,8,158
22,8,1710
23,9,1766
24,9,1863
25,10,847
26,10,1372
27,10,665
28,11,868
29,12,1032
30,12,1197
31,12,71
32,12,1507
33,13,1191
34,13,469
35,13,1190
36,13,191
37,14,242
38,15,1955
39,15,1090
40,16,734
41,16,771
42,16,551
43,17,42
44,17,1563
45,17,1934
46,18,700
47,18,1379
48,19,1520
49,20,1333
50,20,1173
51,20,290
52,20,490
53,21,1896
54,21,730
55,22,1135
56,22,752
57,23,441
58,23,1720
59,23,1557
60,24,1369
61,25,769
62,25,1393
63,26,1612
64,26,799
65,27,1554
66,27,438
67,28,1845
68,29,608
69,29,416
70,29,804
71,30,1769
72,30,1973
73,30,1056
74,31,464
75,31,1437
76,31,1119
77,32,1606
78,32,94
79,33,1571
80,33,927
81,34,375
82,35,533
83,36,639
84,37,1449
85,37,1662
86,37,1410
87,37,1012
88,38,816
89,39,448
90,39,1097
91,39,644
92,39,1939
93,40,541
94,40,303
95,41,584
96,41,958
97,41,68
98,42,420
99,43,1595
100,43,1979
101,43,1097
102,44,1265
103,45,1236
104,46,921
105,46,1858
106,46,1394
107,46,1818
108,47,332
109,48,1569
110,48,1146
111,49,439
112,50,841
113,50,1929
114,50,1934
115,50,30
116,51,56
117,51,232
118,52,764
119,53,1125
120,53,1807
121,53,809
122,54,1356
123,55,1657
124,56,390
125,56,682
126,57,800
127,58,1724
128,58,971
129,59,1096
130,59,1665
131,60,1565
132,61,1622
133,61,582
134,61,1487
135,62,323
136,62,1809
137,62,1395
138,62,590
139,63,830
140,63,1349
141,63,791
142,63,1365
143,64,545
144,65,1665
145,66,823
146,66,684
147,67,1200
148,68,1352
149,68,926
150,68,643
151,68,1835
152,69,1478
153,69,1250
154,69,1272
155,70,1639
156,70,1841
157,70,144
158,70,304
159,71,1605
160,72,473
161,72,1668
162,73,315
163,73,755
164,73,1093
165,74,1867
166,75,819
167,75,326
168,75,1025
169,76,1775
170,76,1152
171,76,1427
172,76,1832
173,77,1761
174,78,1229
175,78,30
176,78,1035
177,78,1767
178,79,598
179,79,100
180,80,1848
181,81,87
182,82,1140
183,82,1928
184,83,869
185,83,1878
186,84,563
187,84,1896
188,84,1174
189,84,1318
190,85,1968
191,85,830
192,85,382
193,86,563
194,86,434
195,87,1424
196,87,824
197,87,1046
198,88,616
199,88,1377
200,89,1019
201,89,1431
202,89,164
203,90,1781
204,91,1968
205,91,1567
206,91,1924
207,91,1219
208,92,1035
209,92,1920
210,92,1717
211,92,553
212,93,1147
213,93,945
214,93,801
215,93,1328
216,94,267
217,95,870
218,95,123
219,96,1564
220,96,925
221,96,401
222,97,307
223,97,42
224,97,1509
225,98,314
226,98,1978
227,98,1493
228,98,1890
229,99,561
230,99,1926
231,99,347
232,99,642
233,100,425
234,100,1330
235,101,1329
236,102,878
237,103,1792
238,103,218
239,104,1128
240,105,225
241,106,15
242,106,907
243,106,501
244,106,806
245,107,401
246,107,1342
247,107,162
248,107,1455
249,108,54
250,108,518
251,108,1880
252,109,1980
253,109,406
254,110,654
255,110,1220
256,111,1957
257,112,601
258,112,504
259,112,1787
260,113,1602
261,114,92
262,114,62
263,115,1440
264,116,586
265,117,809
266,117,934
267,117,568
268,117,1140
269,118,1352
270,118,1178
271,118,82
272,118,1030
273,119,242
274,119,460
275,120,1549
276,121,1534
277,122,144
278,122,1761
279,122,1031
280,123,224
281,123,643
282,124,889
283,124,256
284,125,1908
285,125,403
286,125,570
287,126,738
288,126,1205
289,126,834
290,127,537
291,128,439
292,128,271
293,128,1160
294,129,464
295,129,1559
296,129,7
297,129,1672
298,130,1870
299,130,1131
300,130,1708
301,130,1977
302,131,1112
303,132,1464
304,132,775
305,133,360
306,133,668
307,134,473
308,135,26
309,136,1926
310,136,1326
311,136,319
312,136,1119
313,137,872
314,138,406
315,138,559
316,138,1802
317,138,450
318,139,1765
319,139,1438
320,139,1817
