id,sensor_id,device_id,recorded_at,value,quality_flag
1,1,1,2026-06-09 15:42:52,1016.19,0
2,2,1,2026-06-09 15:42:52,65.0,0
3,3,1,2026-06-09 15:42:52,1.051,0
4,4,1,2026-06-09 15:42:52,35.1,0
5,5,2,2026-06-09 15:42:52,21.5,0
6,6,2,2026-06-09 15:42:52,1010.43,0
7,7,2,2026-06-09 15:42:52,14.6,0
8,8,2,2026-06-09 15:42:52,49.0,0
9,9,3,2026-06-09 15:42:52,10.015,0
10,10,3,2026-06-09 15:42:52,75.0,0
11,11,3,2026-06-09 15:42:52,8.2,0
12,12,3,2026-06-09 15:42:52,991.0,0
13,13,4,2026-06-09 15:42:52,6.191,0
14,14,4,2026-06-09 15:42:52,87.0,0
15,15,4,2026-06-09 15:42:52,1.7,0
16,16,4,2026-06-09 15:42:52,983.5,0
17,17,5,2026-06-09 15:42:52,1000.9,0
18,18,5,2026-06-09 15:42:52,72.0,0
19,19,5,2026-06-09 15:42:52,35.1,0
20,20,5,2026-06-09 15:42:52,11.75,0
21,21,6,2026-06-09 15:42:52,14.644,0
22,22,6,2026-06-09 15:42:52,989.52,0
23,23,7,2026-06-09 15:42:52,85.0,0
24,24,7,2026-06-09 15:42:52,6.5,0
25,25,7,2026-06-09 15:42:52,1026.58,0
26,26,8,2026-06-09 15:42:52,44.0,0
27,27,8,2026-06-09 15:42:52,2.313,0
28,28,8,2026-06-09 15:42:52,37.9,0
29,29,8,2026-06-09 15:42:52,1028.95,0
30,30,9,2026-06-09 15:42:52,9.214,0
31,31,9,2026-06-09 15:42:52,19.4,0
32,32,9,2026-06-09 15:42:52,65.0,0
33,33,10,2026-06-09 15:42:52,2.267,0
34,34,10,2026-06-09 15:42:52,24.0,0
35,35,11,2026-06-09 15:42:52,86.0,0
36,36,11,2026-06-09 15:42:52,27.3,0
37,37,11,2026-06-09 15:42:52,1021.99,0
38,38,11,2026-06-09 15:42:52,14.327,0
39,39,12,2026-06-09 15:42:52,29.0,0
40,40,12,2026-06-09 15:42:52,37.0,0
41,41,12,2026-06-09 15:42:52,1002.57,0
42,42,13,2026-06-09 15:42:52,1003.2,0
43,43,13,2026-06-09 15:42:52,36.8,0
44,44,14,2026-06-09 15:42:52,14.0,0
45,45,14,2026-06-09 15:42:52,983.87,0
46,46,15,2026-06-09 15:42:52,13.1,0
47,47,15,2026-06-09 15:42:52,36.0,0
48,48,15,2026-06-09 15:42:52,9.652,0
49,49,16,2026-06-09 15:42:52,0.027,0
50,50,16,2026-06-09 15:42:52,39.1,0
51,51,16,2026-06-09 15:42:52,984.6,0
52,52,16,2026-06-09 15:42:52,82.0,0
53,53,17,2026-06-09 15:42:52,14.66,0
54,54,17,2026-06-09 15:42:52,21.8,0
55,55,17,2026-06-09 15:42:52,58.0,0
56,56,18,2026-06-09 15:42:52,1018.26,0
57,57,18,2026-06-09 15:42:52,3.3,0
58,58,18,2026-06-09 15:42:52,48.0,0
59,59,18,2026-06-09 15:42:52,6.665,0
60,60,19,2026-06-09 15:42:52,43.8,0
61,61,19,2026-06-09 15:42:52,48.0,0
62,62,19,2026-06-09 15:42:52,11.544,0
63,63,19,2026-06-09 15:42:52,981.66,0
64,64,20,2026-06-09 15:42:52,10.346,0
65,65,20,2026-06-09 15:42:52,30.0,0
66,66,20,2026-06-09 15:42:52,28.2,0
67,67,20,2026-06-09 15:42:52,989.43,0
68,1,1,2026-06-09 15:57:52,991.22,0
69,2,1,2026-06-09 15:57:52,67.0,0
70,3,1,2026-06-09 15:57:52,13.957,0
71,4,1,2026-06-09 15:57:52,36.0,0
72,5,2,2026-06-09 15:57:52,1.2,0
73,6,2,2026-06-09 15:57:52,982.26,0
74,7,2,2026-06-09 15:57:52,2.174,0
75,8,2,2026-06-09 15:57:52,44.0,0
76,9,3,2026-06-09 15:57:52,11.53,0
77,10,3,2026-06-09 15:57:52,42.0,1
78,11,3,2026-06-09 15:57:52,26.2,0
79,12,3,2026-06-09 15:57:52,1013.02,0
80,13,4,2026-06-09 15:57:52,3.349,0
81,14,4,2026-06-09 15:57:52,76.0,0
82,15,4,2026-06-09 15:57:52,35.7,0
83,16,4,2026-06-09 15:57:52,1022.0,0
84,17,5,2026-06-09 15:57:52,1024.49,0
85,18,5,2026-06-09 15:57:52,75.0,0
86,19,5,2026-06-09 15:57:52,27.9,0
87,20,5,2026-06-09 15:57:52,3.682,0
88,21,6,2026-06-09 15:57:52,13.095,0
89,22,6,2026-06-09 15:57:52,987.58,0
90,23,7,2026-06-09 15:57:52,71.0,0
91,24,7,2026-06-09 15:57:52,1.7,0
92,25,7,2026-06-09 15:57:52,988.35,0
93,26,8,2026-06-09 15:57:52,65.0,0
94,27,8,2026-06-09 15:57:52,4.287,0
95,28,8,2026-06-09 15:57:52,31.0,0
96,29,8,2026-06-09 15:57:52,1013.14,0
97,30,9,2026-06-09 15:57:52,0.422,0
98,31,9,2026-06-09 15:57:52,30.5,0
99,32,9,2026-06-09 15:57:52,76.0,0
100,33,10,2026-06-09 15:57:52,5.233,0
101,34,10,2026-06-09 15:57:52,28.0,0
102,35,11,2026-06-09 15:57:52,27.0,0
103,36,11,2026-06-09 15:57:52,19.0,0
104,37,11,2026-06-09 15:57:52,982.98,0
105,38,11,2026-06-09 15:57:52,7.409,0
106,39,12,2026-06-09 15:57:52,35.0,0
107,40,12,2026-06-09 15:57:52,25.1,0
108,41,12,2026-06-09 15:57:52,1026.47,0
109,42,13,2026-06-09 15:57:52,998.28,0
110,43,13,2026-06-09 15:57:52,22.0,0
111,44,14,2026-06-09 15:57:52,3.6,0
112,45,14,2026-06-09 15:57:52,1015.99,0
113,46,15,2026-06-09 15:57:52,15.4,0
114,47,15,2026-06-09 15:57:52,45.0,0
115,48,15,2026-06-09 15:57:52,9.776,0
116,49,16,2026-06-09 15:57:52,0.895,0
117,50,16,2026-06-09 15:57:52,23.9,0
118,51,16,2026-06-09 15:57:52,980.57,0
119,52,16,2026-06-09 15:57:52,51.0,0
120,53,17,2026-06-09 15:57:52,10.798,0
121,54,17,2026-06-09 15:57:52,19.3,0
122,55,17,2026-06-09 15:57:52,59.0,0
123,56,18,2026-06-09 15:57:52,1014.23,0
124,57,18,2026-06-09 15:57:52,20.3,0
125,58,18,2026-06-09 15:57:52,50.0,0
126,59,18,2026-06-09 15:57:52,1.838,0
127,60,19,2026-06-09 15:57:52,16.9,2
128,61,19,2026-06-09 15:57:52,59.0,0
129,62,19,2026-06-09 15:57:52,4.778,0
130,63,19,2026-06-09 15:57:52,1022.99,0
131,64,20,2026-06-09 15:57:52,13.212,0
132,65,20,2026-06-09 15:57:52,51.0,0
133,66,20,2026-06-09 15:57:52,16.2,0
134,67,20,2026-06-09 15:57:52,999.57,0
135,1,1,2026-06-09 16:12:52,1002.5,0
136,2,1,2026-06-09 16:12:52,21.0,0
137,3,1,2026-06-09 16:12:52,1.747,0
138,4,1,2026-06-09 16:12:52,-7.2,0
139,5,2,2026-06-09 16:12:52,38.4,0
140,6,2,2026-06-09 16:12:52,1021.62,0
141,7,2,2026-06-09 16:12:52,3.544,0
142,8,2,2026-06-09 16:12:52,85.0,0
143,9,3,2026-06-09 16:12:52,14.275,0
144,10,3,2026-06-09 16:12:52,72.0,0
145,11,3,2026-06-09 16:12:52,28.3,0
146,12,3,2026-06-09 16:12:52,1016.52,0
147,13,4,2026-06-09 16:12:52,14.451,0
148,14,4,2026-06-09 16:12:52,31.0,0
149,15,4,2026-06-09 16:12:52,27.3,0
150,16,4,2026-06-09 16:12:52,1012.42,0
151,17,5,2026-06-09 16:12:52,1012.61,0
152,18,5,2026-06-09 16:12:52,47.0,0
153,19,5,2026-06-09 16:12:52,35.5,0
154,20,5,2026-06-09 16:12:52,9.109,0
155,21,6,2026-06-09 16:12:52,14.033,0
156,22,6,2026-06-09 16:12:52,999.09,0
157,23,7,2026-06-09 16:12:52,74.0,0
158,24,7,2026-06-09 16:12:52,30.6,0
159,25,7,2026-06-09 16:12:52,1022.0,0
160,26,8,2026-06-09 16:12:52,72.0,0
161,27,8,2026-06-09 16:12:52,6.63,0
162,28,8,2026-06-09 16:12:52,35.5,0
163,29,8,2026-06-09 16:12:52,987.74,0
164,30,9,2026-06-09 16:12:52,9.497,0
165,31,9,2026-06-09 16:12:52,31.9,0
166,32,9,2026-06-09 16:12:52,61.0,0
167,33,10,2026-06-09 16:12:52,4.817,0
168,34,10,2026-06-09 16:12:52,55.0,0
169,35,11,2026-06-09 16:12:52,45.0,0
170,36,11,2026-06-09 16:12:52,-5.5,0
171,37,11,2026-06-09 16:12:52,1016.66,0
172,38,11,2026-06-09 16:12:52,4.912,0
173,39,12,2026-06-09 16:12:52,45.0,0
174,40,12,2026-06-09 16:12:52,36.3,0
175,41,12,2026-06-09 16:12:52,1005.95,0
176,42,13,2026-06-09 16:12:52,1012.08,0
177,43,13,2026-06-09 16:12:52,16.3,0
178,44,14,2026-06-09 16:12:52,13.3,0
179,45,14,2026-06-09 16:12:52,986.88,0
180,46,15,2026-06-09 16:12:52,1.0,0
181,47,15,2026-06-09 16:12:52,64.0,0
182,48,15,2026-06-09 16:12:52,6.81,0
183,49,16,2026-06-09 16:12:52,9.879,0
184,50,16,2026-06-09 16:12:52,38.5,0
185,51,16,2026-06-09 16:12:52,1007.76,0
186,52,16,2026-06-09 16:12:52,76.0,0
187,53,17,2026-06-09 16:12:52,8.677,0
188,54,17,2026-06-09 16:12:52,25.1,0
189,55,17,2026-06-09 16:12:52,80.0,0
190,56,18,2026-06-09 16:12:52,1027.79,0
191,57,18,2026-06-09 16:12:52,-6.4,0
192,58,18,2026-06-09 16:12:52,27.0,0
193,59,18,2026-06-09 16:12:52,2.67,0
194,60,19,2026-06-09 16:12:52,13.9,0
195,61,19,2026-06-09 16:12:52,68.0,0
196,62,19,2026-06-09 16:12:52,14.468,0
197,63,19,2026-06-09 16:12:52,999.17,0
198,64,20,2026-06-09 16:12:52,6.233,0
199,65,20,2026-06-09 16:12:52,43.0,0
200,66,20,2026-06-09 16:12:52,-4.7,0
201,67,20,2026-06-09 16:12:52,984.76,0
202,1,1,2026-06-09 16:27:52,1017.25,0
203,2,1,2026-06-09 16:27:52,40.0,0
204,3,1,2026-06-09 16:27:52,3.829,0
205,4,1,2026-06-09 16:27:52,20.6,0
206,5,2,2026-06-09 16:27:52,12.6,0
207,6,2,2026-06-09 16:27:52,1006.97,0
208,7,2,2026-06-09 16:27:52,13.476,0
209,8,2,2026-06-09 16:27:52,26.0,0
210,9,3,2026-06-09 16:27:52,12.38,0
211,10,3,2026-06-09 16:27:52,48.0,0
212,11,3,2026-06-09 16:27:52,24.1,0
213,12,3,2026-06-09 16:27:52,982.06,0
214,13,4,2026-06-09 16:27:52,13.583,0
215,14,4,2026-06-09 16:27:52,57.0,0
216,15,4,2026-06-09 16:27:52,43.9,0
217,16,4,2026-06-09 16:27:52,1005.08,0
218,17,5,2026-06-09 16:27:52,1004.31,0
219,18,5,2026-06-09 16:27:52,42.0,0
220,19,5,2026-06-09 16:27:52,18.0,0
221,20,5,2026-06-09 16:27:52,4.455,0
222,21,6,2026-06-09 16:27:52,6.229,0
223,22,6,2026-06-09 16:27:52,987.75,0
224,23,7,2026-06-09 16:27:52,22.0,0
225,24,7,2026-06-09 16:27:52,35.8,0
226,25,7,2026-06-09 16:27:52,1021.94,0
227,26,8,2026-06-09 16:27:52,21.0,0
