id,device_id,title,body,sent_at,opened_at
1,1,Don't miss out!,Check out our latest exclusive drops waiting for you inside the app.,2026-05-17 15:06:54,
2,1,We miss you!,Log back in today to claim your daily activity bonus streaks!,2026-05-14 11:11:19,
3,2,Purchase Confirmed,Your payment transaction was successful. Thank you for your support!,2026-04-21 14:53:39,
4,2,Purchase Confirmed,Your payment transaction was successful. Thank you for your support!,2026-04-21 01:12:13,
5,3,We miss you!,Log back in today to claim your daily activity bonus streaks!,2026-04-19 16:30:10,
6,3,Don't miss out!,Check out our latest exclusive drops waiting for you inside the app.,2026-04-17 08:37:18,2026-04-17 09:09:52
7,4,Purchase Confirmed,Your payment transaction was successful. Thank you for your support!,2026-05-05 15:42:51,2026-05-05 16:11:39
8,4,We miss you!,Log back in today to claim your daily activity bonus streaks!,2026-05-07 05:17:51,2026-05-07 06:36:47
9,4,Don't miss out!,Check out our latest exclusive drops waiting for you inside the app.,2026-05-04 22:56:45,2026-05-05 00:03:01
10,5,Don't miss out!,Check out our latest exclusive drops waiting for you inside the app.,2026-04-23 07:30:19,
11,5,Purchase Confirmed,Your payment transaction was successful. Thank you for your support!,2026-04-21 03:51:06,2026-04-21 05:34:32
12,6,Don't miss out!,Check out our latest exclusive drops waiting for you inside the app.,2026-04-25 06:57:47,
13,9,We miss you!,Log back in today to claim your daily activity bonus streaks!,2026-05-30 13:34:57,
14,10,Purchase Confirmed,Your payment transaction was successful. Thank you for your support!,2026-05-30 11:52:19,2026-05-30 12:06:26
15,11,Purchase Confirmed,Your payment transaction was successful. Thank you for your support!,2026-04-20 01:54:30,2026-04-20 03:30:08
16,11,We miss you!,Log back in today to claim your daily activity bonus streaks!,2026-04-19 04:07:20,
17,11,Purchase Confirmed,Your payment transaction was successful. Thank you for your support!,2026-04-20 14:38:11,
18,12,We miss you!,Log back in today to claim your daily activity bonus streaks!,2026-04-20 21:33:49,2026-04-20 21:52:25
19,12,We miss you!,Log back in today to claim your daily activity bonus streaks!,2026-04-17 10:27:36,
20,12,Purchase Confirmed,Your payment transaction was successful. Thank you for your support!,2026-04-18 19:06:44,2026-04-18 19:35:10
21,13,Purchase Confirmed,Your payment transaction was successful. Thank you for your support!,2026-05-02 12:12:32,2026-05-02 13:21:01
22,13,Purchase Confirmed,Your payment transaction was successful. Thank you for your support!,2026-05-01 12:27:56,2026-05-01 12:42:47
23,14,Don't miss out!,Check out our latest exclusive drops waiting for you inside the app.,2026-05-02 19:56:33,2026-05-02 20:40:36
24,14,Purchase Confirmed,Your payment transaction was successful. Thank you for your support!,2026-05-03 10:57:27,
25,14,Don't miss out!,Check out our latest exclusive drops waiting for you inside the app.,2026-05-01 11:49:56,2026-05-01 13:05:50
26,15,Purchase Confirmed,Your payment transaction was successful. Thank you for your support!,2026-04-22 05:23:06,
27,15,Don't miss out!,Check out our latest exclusive drops waiting for you inside the app.,2026-04-22 23:34:04,
28,16,Don't miss out!,Check out our latest exclusive drops waiting for you inside the app.,2026-05-26 02:24:14,2026-05-26 03:56:02
29,16,We miss you!,Log back in today to claim your daily activity bonus streaks!,2026-05-24 08:23:38,
30,17,Don't miss out!,Check out our latest exclusive drops waiting for you inside the app.,2026-05-13 07:01:15,2026-05-13 07:54:56
31,18,We miss you!,Log back in today to claim your daily activity bonus streaks!,2026-05-10 17:36:42,2026-05-10 18:24:12
32,19,Purchase Confirmed,Your payment transaction was successful. Thank you for your support!,2026-05-08 20:52:21,2026-05-08 22:12:17
33,19,We miss you!,Log back in today to claim your daily activity bonus streaks!,2026-05-07 11:04:24,2026-05-07 12:56:03
34,20,Purchase Confirmed,Your payment transaction was successful. Thank you for your support!,2026-05-11 12:12:11,
35,20,We miss you!,Log back in today to claim your daily activity bonus streaks!,2026-05-09 14:56:48,
36,21,We miss you!,Log back in today to claim your daily activity bonus streaks!,2026-04-18 01:54:44,2026-04-18 03:46:59
37,22,Purchase Confirmed,Your payment transaction was successful. Thank you for your support!,2026-05-19 10:15:35,
38,22,We miss you!,Log back in today to claim your daily activity bonus streaks!,2026-05-16 06:11:20,
39,23,Don't miss out!,Check out our latest exclusive drops waiting for you inside the app.,2026-04-22 15:56:10,
40,24,Don't miss out!,Check out our latest exclusive drops waiting for you inside the app.,2026-05-18 01:39:43,
41,24,Purchase Confirmed,Your payment transaction was successful. Thank you for your support!,2026-05-18 10:33:52,
42,24,Purchase Confirmed,Your payment transaction was successful. Thank you for your support!,2026-05-17 17:57:45,
