review_id,customer_id,product_id,rating,review_text,review_date
1,1595,1076,4,Automated transactional reference evaluation text for product segment index tracking verification profile 1.,2021-04-16
2,2052,1411,5,Automated transactional reference evaluation text for product segment index tracking verification profile 2.,2025-09-04
3,1243,1139,4,Automated transactional reference evaluation text for product segment index tracking verification profile 3.,2023-08-04
4,2073,676,2,Automated transactional reference evaluation text for product segment index tracking verification profile 4.,2024-05-19
5,1588,953,3,Automated transactional reference evaluation text for product segment index tracking verification profile 5.,2025-02-01
6,2307,1478,3,Automated transactional reference evaluation text for product segment index tracking verification profile 6.,2025-07-05
7,2029,218,4,Automated transactional reference evaluation text for product segment index tracking verification profile 7.,2024-12-04
8,1625,654,5,Automated transactional reference evaluation text for product segment index tracking verification profile 8.,2022-12-19
9,622,915,1,Automated transactional reference evaluation text for product segment index tracking verification profile 9.,2021-10-02
10,10,388,5,Automated transactional reference evaluation text for product segment index tracking verification profile 10.,2025-08-22
11,357,1166,1,Automated transactional reference evaluation text for product segment index tracking verification profile 11.,2022-11-08
12,1978,401,3,Automated transactional reference evaluation text for product segment index tracking verification profile 12.,2021-10-24
13,787,1107,4,Automated transactional reference evaluation text for product segment index tracking verification profile 13.,2021-02-12
14,1677,917,3,Automated transactional reference evaluation text for product segment index tracking verification profile 14.,2022-02-03
15,572,1391,4,Automated transactional reference evaluation text for product segment index tracking verification profile 15.,2023-05-04
16,1640,1208,2,Automated transactional reference evaluation text for product segment index tracking verification profile 16.,2023-07-07
17,69,621,5,Automated transactional reference evaluation text for product segment index tracking verification profile 17.,2022-01-07
18,1553,1197,2,Automated transactional reference evaluation text for product segment index tracking verification profile 18.,2021-02-24
19,2340,920,3,Automated transactional reference evaluation text for product segment index tracking verification profile 19.,2021-11-05
20,1430,572,5,Automated transactional reference evaluation text for product segment index tracking verification profile 20.,2024-01-16
21,49,254,5,Automated transactional reference evaluation text for product segment index tracking verification profile 21.,2021-05-01
22,2459,772,5,Automated transactional reference evaluation text for product segment index tracking verification profile 22.,2025-05-14
23,117,886,5,Automated transactional reference evaluation text for product segment index tracking verification profile 23.,2023-08-13
24,280,475,3,Automated transactional reference evaluation text for product segment index tracking verification profile 24.,2022-01-24
25,2469,1233,3,Automated transactional reference evaluation text for product segment index tracking verification profile 25.,2025-09-28
26,377,1248,1,Automated transactional reference evaluation text for product segment index tracking verification profile 26.,2021-01-21
27,1837,703,4,Automated transactional reference evaluation text for product segment index tracking verification profile 27.,2025-05-17
28,638,1285,1,Automated transactional reference evaluation text for product segment index tracking verification profile 28.,2023-12-03
29,1308,1038,4,Automated transactional reference evaluation text for product segment index tracking verification profile 29.,2021-10-26
30,209,289,5,Automated transactional reference evaluation text for product segment index tracking verification profile 30.,2022-08-12
31,2461,634,4,Automated transactional reference evaluation text for product segment index tracking verification profile 31.,2022-09-12
32,1743,1464,3,Automated transactional reference evaluation text for product segment index tracking verification profile 32.,2024-02-21
33,337,1036,2,Automated transactional reference evaluation text for product segment index tracking verification profile 33.,2024-01-26
34,171,1386,5,Automated transactional reference evaluation text for product segment index tracking verification profile 34.,2023-08-06
35,975,981,5,Automated transactional reference evaluation text for product segment index tracking verification profile 35.,2025-03-22
36,2495,193,2,Automated transactional reference evaluation text for product segment index tracking verification profile 36.,2025-05-13
37,606,508,4,Automated transactional reference evaluation text for product segment index tracking verification profile 37.,2021-02-20
38,1325,1282,5,Automated transactional reference evaluation text for product segment index tracking verification profile 38.,2023-01-07
39,888,460,2,Automated transactional reference evaluation text for product segment index tracking verification profile 39.,2024-12-01
40,892,1007,5,Automated transactional reference evaluation text for product segment index tracking verification profile 40.,2025-03-25
41,163,693,4,Automated transactional reference evaluation text for product segment index tracking verification profile 41.,2023-08-05
42,2259,355,2,Automated transactional reference evaluation text for product segment index tracking verification profile 42.,2023-04-10
43,36,1381,1,Automated transactional reference evaluation text for product segment index tracking verification profile 43.,2024-04-02
44,1466,887,4,Automated transactional reference evaluation text for product segment index tracking verification profile 44.,2021-05-20
45,1417,769,1,Automated transactional reference evaluation text for product segment index tracking verification profile 45.,2025-08-14
46,1228,535,5,Automated transactional reference evaluation text for product segment index tracking verification profile 46.,2022-10-07
47,1889,1195,4,Automated transactional reference evaluation text for product segment index tracking verification profile 47.,2024-11-25
48,1113,527,4,Automated transactional reference evaluation text for product segment index tracking verification profile 48.,2022-06-14
49,1535,880,4,Automated transactional reference evaluation text for product segment index tracking verification profile 49.,2023-05-30
50,2009,349,1,Automated transactional reference evaluation text for product segment index tracking verification profile 50.,2022-03-22
51,1922,465,4,Automated transactional reference evaluation text for product segment index tracking verification profile 51.,2021-04-28
52,228,13,5,Automated transactional reference evaluation text for product segment index tracking verification profile 52.,2025-03-23
53,2381,1457,3,Automated transactional reference evaluation text for product segment index tracking verification profile 53.,2022-03-08
54,1972,27,4,Automated transactional reference evaluation text for product segment index tracking verification profile 54.,2025-08-07
55,2358,1172,3,Automated transactional reference evaluation text for product segment index tracking verification profile 55.,2022-09-30
56,1963,1218,4,Automated transactional reference evaluation text for product segment index tracking verification profile 56.,2024-09-30
57,1306,1104,4,Automated transactional reference evaluation text for product segment index tracking verification profile 57.,2025-12-12
58,1,1457,4,Automated transactional reference evaluation text for product segment index tracking verification profile 58.,2025-07-30
59,1184,1231,5,Automated transactional reference evaluation text for product segment index tracking verification profile 59.,2022-09-10
60,1797,627,4,Automated transactional reference evaluation text for product segment index tracking verification profile 60.,2021-11-21
61,1085,347,5,Automated transactional reference evaluation text for product segment index tracking verification profile 61.,2024-06-05
62,1641,622,4,Automated transactional reference evaluation text for product segment index tracking verification profile 62.,2023-09-30
63,1735,375,1,Automated transactional reference evaluation text for product segment index tracking verification profile 63.,2025-08-29
64,1495,725,4,Automated transactional reference evaluation text for product segment index tracking verification profile 64.,2024-12-04
65,1647,1329,4,Automated transactional reference evaluation text for product segment index tracking verification profile 65.,2022-02-06
66,490,1043,5,Automated transactional reference evaluation text for product segment index tracking verification profile 66.,2024-03-19
67,247,649,3,Automated transactional reference evaluation text for product segment index tracking verification profile 67.,2023-05-08
68,1306,678,2,Automated transactional reference evaluation text for product segment index tracking verification profile 68.,2023-05-09
69,8,349,1,Automated transactional reference evaluation text for product segment index tracking verification profile 69.,2022-10-19
70,962,1375,2,Automated transactional reference evaluation text for product segment index tracking verification profile 70.,2022-11-12
71,90,334,4,Automated transactional reference evaluation text for product segment index tracking verification profile 71.,2025-08-31
