order_id,item_id,product_id,quantity,unit_price,discount
1,1,576,3,430.94,0.15
1,2,1099,9,623.47,0.05
1,3,1073,5,960.94,0.0
1,4,451,8,457.69,0.0
2,1,649,5,643.6,0.05
2,2,219,9,860.49,0.0
2,3,729,4,1120.1,0.05
2,4,1240,4,1243.33,0.0
3,1,1081,8,154.8,0.0
3,2,987,4,43.22,0.1
3,3,1176,3,1009.04,0.1
3,4,396,1,173.7,0.15
4,1,954,7,285.44,0.0
4,2,1347,2,216.36,0.0
5,1,62,2,1094.16,0.1
6,1,944,7,93.18,0.15
7,1,600,4,489.53,0.15
7,2,1034,6,825.23,0.1
8,1,1080,10,718.78,0.05
8,2,682,6,536.56,0.1
9,1,889,5,484.96,0.0
9,2,1285,8,265.61,0.0
9,3,121,9,275.4,0.05
10,1,552,1,476.72,0.15
11,1,413,3,117.59,0.1
11,2,1219,10,975.28,0.0
11,3,753,3,1073.66,0.0
12,1,593,3,408.96,0.1
12,2,270,5,477.52,0.0
12,3,812,2,679.65,0.1
12,4,124,1,577.95,0.0
13,1,1182,2,545.22,0.0
13,2,967,1,65.21,0.1
13,3,734,9,303.66,0.15
13,4,1465,9,940.99,0.1
14,1,83,1,62.89,0.15
15,1,727,4,509.66,0.15
16,1,1169,2,321.97,0.0
16,2,1130,6,915.8,0.05
16,3,1007,8,756.77,0.15
17,1,1352,1,40.77,0.0
17,2,977,1,485.13,0.05
18,1,293,1,189.86,0.1
18,2,273,2,269.64,0.15
19,1,1348,5,313.03,0.05
20,1,649,7,643.6,0.1
20,2,159,9,563.1,0.0
21,1,108,5,253.07,0.1
21,2,1458,1,625.65,0.05
21,3,1328,2,726.9,0.05
21,4,239,1,293.54,0.0
22,1,1125,2,1116.75,0.0
22,2,669,8,619.95,0.0
22,3,14,1,8.44,0.0
23,1,600,2,489.53,0.0
24,1,397,6,545.28,0.1
24,2,569,10,509.28,0.05
25,1,1097,1,189.11,0.05
25,2,486,10,799.54,0.0
25,3,178,9,904.75,0.0
25,4,636,8,715.77,0.05
26,1,45,9,656.66,0.1
26,2,524,1,780.49,0.15
27,1,240,6,878.9,0.1
27,2,1212,6,36.22,0.1
27,3,1065,7,912.91,0.0
28,1,1336,3,320.03,0.0
28,2,780,9,215.42,0.0
29,1,1446,1,717.78,0.1
29,2,224,2,407.56,0.0
29,3,1343,4,389.42,0.1
29,4,1453,9,826.98,0.0
30,1,326,4,755.84,0.05
30,2,1176,10,1009.04,0.0
30,3,1403,1,488.94,0.1
31,1,499,2,80.63,0.1
31,2,224,8,407.56,0.0
32,1,615,7,247.98,0.0
33,1,199,2,460.88,0.1
33,2,827,10,223.79,0.05
33,3,413,4,117.59,0.15
34,1,788,8,1320.48,0.1
35,1,1483,9,689.55,0.1
35,2,210,1,11.42,0.15
35,3,624,7,393.32,0.1
35,4,626,4,1297.27,0.1
36,1,237,4,679.92,0.05
37,1,1004,3,1121.09,0.15
37,2,1109,1,1217.13,0.0
37,3,1218,1,420.85,0.05
37,4,651,10,860.03,0.05
38,1,1441,4,635.82,0.05
38,2,872,8,723.76,0.1
38,3,748,6,967.36,0.0
39,1,1378,1,1337.16,0.15
39,2,1399,5,83.23,0.05
39,3,1146,8,1156.75,0.0
40,1,782,4,820.73,0.15
41,1,1350,3,314.95,0.1
42,1,1037,6,1100.24,0.0
42,2,537,10,400.8,0.0
43,1,154,2,234.47,0.05
43,2,183,6,189.25,0.1
43,3,635,2,280.0,0.1
43,4,904,1,84.7,0.1
44,1,832,6,785.14,0.0
44,2,101,9,41.92,0.0
45,1,28,2,213.69,0.15
46,1,254,5,190.08,0.1
46,2,1477,3,686.63,0.0
47,1,1211,3,805.64,0.15
47,2,1167,1,730.93,0.05
48,1,606,6,67.62,0.05
48,2,1403,4,488.94,0.05
49,1,1221,2,241.57,0.05
49,2,1050,6,1198.31,0.1
50,1,46,4,1054.7,0.0
51,1,842,5,303.13,0.1
51,2,328,5,1176.15,0.15
52,1,521,8,213.04,0.0
53,1,753,4,1073.66,0.15
53,2,335,2,177.57,0.1
54,1,1131,4,960.03,0.0
54,2,436,10,292.42,0.0
55,1,609,1,407.96,0.05
55,2,527,9,1062.06,0.0
55,3,297,2,251.24,0.1
55,4,739,4,544.93,0.1
56,1,1065,7,912.91,0.1
57,1,494,4,730.68,0.05
57,2,1458,9,625.65,0.15
58,1,956,1,703.94,0.15
58,2,1112,10,264.23,0.0
59,1,396,10,173.7,0.0
59,2,908,10,842.42,0.0
59,3,1019,9,385.29,0.05
59,4,587,1,849.66,0.0
60,1,1264,2,817.99,0.15
60,2,1054,4,447.28,0.1
60,3,1308,9,396.59,0.05
60,4,262,2,322.45,0.05
61,1,1204,6,1069.29,0.0
61,2,1364,2,664.1,0.15
62,1,898,6,553.07,0.05
62,2,164,1,458.84,0.15
62,3,123,5,1169.1,0.0
63,1,170,2,325.4,0.0
64,1,992,8,236.21,0.05
64,2,60,8,828.84,0.0
65,1,263,8,260.92,0.1
65,2,1257,10,1042.2,0.0
65,3,146,8,712.45,0.0
66,1,1319,8,1013.75,0.1
66,2,1084,10,117.91,0.0
67,1,370,3,357.71,0.0
67,2,1195,1,593.56,0.1
67,3,1113,6,525.08,0.0
68,1,1423,9,891.03,0.15
68,2,632,7,675.12,0.0
68,3,1470,9,820.5,0.05
69,1,508,10,569.77,0.05
70,1,581,5,712.61,0.0
70,2,842,3,303.13,0.15
71,1,126,2,1154.81,0.05
71,2,973,10,1126.45,0.0
71,3,765,4,663.89,0.0
71,4,1018,9,1045.36,0.0
72,1,959,7,130.51,0.05
72,2,36,1,538.35,0.15
73,1,1439,9,887.65,0.15
73,2,375,6,509.04,0.1
74,1,305,7,490.84,0.15
74,2,316,6,685.65,0.05
74,3,893,3,1021.85,0.0
75,1,1170,5,488.51,0.0
76,1,887,3,784.73,0.0
77,1,932,5,1191.29,0.1
77,2,1328,3,726.9,0.1
78,1,1387,1,439.65,0.15
78,2,475,7,617.2,0.15
78,3,102,1,542.32,0.1
78,4,31,6,1152.25,0.1
79,1,819,4,115.15,0.05
79,2,1480,7,746.67,0.0
79,3,64,4,1132.74,0.1
79,4,311,8,844.37,0.0
80,1,611,9,779.4,0.1
80,2,635,3,280.0,0.15
80,3,1108,7,707.55,0.1
81,1,816,5,153.71,0.15
81,2,956,6,703.94,0.15
82,1,1088,6,1119.92,0.0
82,2,105,7,450.29,0.1
82,3,1438,7,979.93,0.1
82,4,829,8,564.36,0.15
83,1,845,6,42.92,0.0
83,2,834,8,1078.74,0.0
83,3,8,1,368.61,0.0
84,1,1052,8,804.71,0.1
84,2,697,9,1057.42,0.05
84,3,487,4,530.56,0.05
84,4,1377,10,146.19,0.05
85,1,671,8,437.77,0.1
85,2,78,4,364.72,0.05
85,3,425,8,374.12,0.1
86,1,1294,1,113.64,0.15
86,2,1104,9,721.33,0.1
86,3,1306,3,505.19,0.0
87,1,730,8,65.01,0.15
87,2,98,7,494.52,0.0
87,3,739,5,544.93,0.0
88,1,442,3,864.7,0.0
88,2,282,7,181.37,0.15
88,3,387,4,648.77,0.0
88,4,346,6,338.81,0.05
89,1,729,6,1120.1,0.1
89,2,977,5,485.13,0.1
90,1,1151,10,535.91,0.0
91,1,787,4,62.7,0.15
91,2,738,4,869.72,0.15
91,3,1353,9,438.35,0.15
92,1,1283,10,757.24,0.15
92,2,316,7,685.65,0.0
92,3,169,9,414.32,0.0
93,1,1444,5,145.81,0.0
93,2,493,6,1281.54,0.05
93,3,478,3,635.25,0.0
94,1,1328,3,726.9,0.0
94,2,1270,7,617.31,0.0
94,3,822,1,70.65,0.0
94,4,1407,3,426.96,0.1
95,1,997,10,446.18,0.1
96,1,577,4,865.22,0.0
96,2,1400,10,584.35,0.0
97,1,319,4,943.2,0.15
97,2,1300,9,72.81,0.15
97,3,903,2,523.41,0.15
98,1,148,6,1008.98,0.05
98,2,1105,5,885.9,0.05
98,3,560,10,291.35,0.0
98,4,381,5,252.47,0.0
99,1,413,5,117.59,0.1
100,1,622,9,132.69,0.0
101,1,316,7,685.65,0.1
101,2,427,10,606.41,0.15
102,1,565,8,917.54,0.05
103,1,1153,1,384.42,0.05
103,2,658,3,670.92,0.05
103,3,835,4,318.9,0.0
103,4,669,7,619.95,0.15
104,1,780,10,215.42,0.0
104,2,541,2,940.09,0.15
105,1,1274,4,49.69,0.05
106,1,52,8,1080.12,0.15
106,2,1130,4,915.8,0.0
107,1,80,10,435.99,0.15
107,2,1048,1,142.45,0.0
108,1,1262,6,292.98,0.0
109,1,1097,9,189.11,0.1
