order_id,customer_id,employee_id,channel_id,order_date,status,total_amount
1,40,561,2,2021-08-22 20:11:53,CANCELLED,14895.79
2,1559,875,1,2023-11-24 19:05:17,COMPLETED,20031.21
3,1959,1113,1,2024-05-14 22:27:56,PENDING,4266.05
4,658,475,4,2024-03-07 06:17:49,COMPLETED,2430.8
5,1094,605,4,2023-04-01 08:10:41,SHIPPED,1969.49
6,2076,1182,4,2024-08-11 15:01:46,CANCELLED,554.42
7,2242,1121,1,2021-02-07 05:02:36,COMPLETED,6120.64
8,1920,240,3,2021-06-29 15:31:47,PROCESSING,9725.83
9,456,767,4,2025-11-17 09:56:08,COMPLETED,6904.35
10,1702,1181,2,2025-11-24 22:00:49,PROCESSING,405.21
11,994,534,3,2022-10-06 21:22:51,COMPLETED,13291.27
12,2106,686,4,2022-08-29 18:41:38,PENDING,5293.11
13,803,36,4,2025-02-01 09:14:38,SHIPPED,11094.15
14,1594,1164,1,2024-04-08 14:32:56,CANCELLED,53.46
15,298,746,1,2022-09-05 01:43:24,COMPLETED,1732.84
16,2371,626,2,2024-11-10 17:06:42,CANCELLED,11010.04
17,403,203,3,2023-07-09 13:35:32,PROCESSING,501.64
18,1030,699,2,2022-06-25 12:01:59,PROCESSING,629.26
19,1792,581,1,2021-01-15 10:30:02,COMPLETED,1486.89
20,2261,1182,1,2024-07-22 05:02:48,COMPLETED,9122.58
21,320,40,2,2023-07-13 11:21:55,PROCESSING,3407.83
22,2240,560,3,2021-01-14 00:53:44,CANCELLED,7201.54
23,1325,132,3,2024-01-10 13:04:03,COMPLETED,979.06
24,1410,756,2,2023-04-29 18:42:51,PENDING,7782.67
25,177,1001,3,2021-08-28 13:45:30,PROCESSING,21757.66
26,2363,151,4,2024-12-09 16:12:56,SHIPPED,5982.36
27,2292,1092,2,2025-06-26 11:39:27,PROCESSING,11332.02
28,912,86,4,2024-09-25 12:45:41,COMPLETED,2898.87
29,1966,146,1,2025-11-01 11:29:28,PENDING,10305.85
30,1764,1028,3,2025-04-06 16:49:10,PROCESSING,13402.64
31,173,947,4,2021-09-11 10:55:22,SHIPPED,3405.61
32,761,578,4,2021-06-21 00:24:49,PROCESSING,1735.86
33,1608,7,4,2024-12-17 22:47:26,COMPLETED,3355.39
34,282,928,1,2021-01-06 19:22:22,CANCELLED,9507.46
35,1505,306,4,2023-11-10 14:27:02,PROCESSING,12743.15
36,938,1,1,2021-11-03 22:30:38,SHIPPED,2583.7
37,1484,828,1,2022-08-01 13:17:32,PENDING,12646.0
38,2376,893,1,2022-05-24 09:39:58,PROCESSING,13431.35
39,1539,872,4,2023-10-01 04:58:45,COMPLETED,10785.93
40,2415,466,4,2024-10-03 04:10:34,SHIPPED,2790.48
41,808,715,2,2023-01-05 10:40:57,PENDING,850.36
42,1235,832,1,2021-03-10 17:43:10,COMPLETED,10609.44
43,2023,506,3,2024-10-12 08:08:36,CANCELLED,2047.67
44,1394,816,4,2021-03-28 07:04:45,PENDING,5088.12
45,1855,927,3,2025-09-12 09:23:47,CANCELLED,363.27
46,1368,91,4,2022-09-10 19:33:22,COMPLETED,2915.25
47,1695,1035,4,2022-01-15 10:31:16,PENDING,2748.77
48,881,698,1,2024-11-08 08:53:54,PENDING,2243.41
49,2468,359,4,2022-08-16 12:02:35,SHIPPED,6929.86
