product_id,product_name,description,category_id,sku,list_price,cost_price,weight_kg
1,Flex Station v1,High performance utility design matching component spec 1.,1,SKU-217-0001,352.59,292.42,10.2
2,Smart Link v2,High performance utility design matching component spec 2.,1,SKU-611-0002,601.13,483.6,19.65
3,Elite Module v3,High performance utility design matching component spec 3.,5,SKU-766-0003,929.77,586.51,34.06
4,Eco Gadget v4,High performance utility design matching component spec 4.,2,SKU-771-0004,836.46,597.96,21.96
5,Pro Gadget v5,High performance utility design matching component spec 5.,4,SKU-496-0005,35.16,20.78,16.72
6,Ultra Station v6,High performance utility design matching component spec 6.,4,SKU-473-0006,723.24,478.84,43.47
7,Flex Widget v7,High performance utility design matching component spec 7.,1,SKU-521-0007,1107.9,788.22,43.32
8,Pro Gadget v8,High performance utility design matching component spec 8.,2,SKU-317-0008,368.61,246.62,5.49
9,Smart Pack v9,High performance utility design matching component spec 9.,3,SKU-763-0009,547.44,411.7,5.67
10,Max Link v10,High performance utility design matching component spec 10.,1,SKU-339-0010,398.6,296.06,1.87
11,Pro Module v11,High performance utility design matching component spec 11.,4,SKU-339-0011,893.68,643.85,13.27
12,Elite Module v12,High performance utility design matching component spec 12.,4,SKU-533-0012,992.22,645.2,28.49
13,Ultra Station v13,High performance utility design matching component spec 13.,4,SKU-426-0013,1084.79,693.12,30.12
14,Ultra Gadget v14,High performance utility design matching component spec 14.,2,SKU-706-0014,8.44,5.16,14.89
15,Core Hub v15,High performance utility design matching component spec 15.,4,SKU-366-0015,807.93,552.79,37.15
16,Flex Module v16,High performance utility design matching component spec 16.,4,SKU-289-0016,34.14,20.76,18.59
17,Pro Module v17,High performance utility design matching component spec 17.,1,SKU-658-0017,1102.03,677.29,2.43
18,Ultra Device v18,High performance utility design matching component spec 18.,2,SKU-964-0018,725.92,451.89,22.41
19,Elite Pad v19,High performance utility design matching component spec 19.,5,SKU-912-0019,741.95,430.73,2.18
20,Pro Hub v20,High performance utility design matching component spec 20.,4,SKU-897-0020,597.69,352.19,27.95
21,Flex Hub v21,High performance utility design matching component spec 21.,5,SKU-862-0021,335.29,243.94,42.93
