ticket_id,customer_id,assigned_employee_id,subject,status,priority,created_at
1,341,612,System Connection Interruption Ticket Reference Ref #1,OPEN,HIGH,2022-05-24 23:43:46
2,54,122,System Connection Interruption Ticket Reference Ref #2,IN_PROGRESS,CRITICAL,2021-05-29 21:46:01
3,221,176,System Connection Interruption Ticket Reference Ref #3,RESOLVED,LOW,2025-07-01 13:26:19
4,1032,3,System Connection Interruption Ticket Reference Ref #4,OPEN,LOW,2022-10-16 12:37:29
5,819,582,System Connection Interruption Ticket Reference Ref #5,IN_PROGRESS,MEDIUM,2024-09-26 16:57:46
6,1589,980,System Connection Interruption Ticket Reference Ref #6,OPEN,CRITICAL,2022-06-22 22:28:27
7,769,125,System Connection Interruption Ticket Reference Ref #7,RESOLVED,MEDIUM,2024-10-11 18:14:53
8,1986,918,System Connection Interruption Ticket Reference Ref #8,IN_PROGRESS,MEDIUM,2024-04-23 13:14:37
9,454,439,System Connection Interruption Ticket Reference Ref #9,IN_PROGRESS,CRITICAL,2025-01-19 23:51:41
10,1977,579,System Connection Interruption Ticket Reference Ref #10,CLOSED,CRITICAL,2025-07-11 09:44:17
11,2497,337,System Connection Interruption Ticket Reference Ref #11,OPEN,CRITICAL,2023-09-01 04:38:45
12,2352,42,System Connection Interruption Ticket Reference Ref #12,RESOLVED,CRITICAL,2023-02-25 09:31:50
13,6,255,System Connection Interruption Ticket Reference Ref #13,CLOSED,MEDIUM,2022-10-08 12:33:32
14,1758,354,System Connection Interruption Ticket Reference Ref #14,OPEN,HIGH,2025-05-28 06:40:41
15,604,988,System Connection Interruption Ticket Reference Ref #15,RESOLVED,MEDIUM,2025-06-07 10:47:17
16,241,953,System Connection Interruption Ticket Reference Ref #16,IN_PROGRESS,HIGH,2022-05-08 12:38:02
17,2254,220,System Connection Interruption Ticket Reference Ref #17,OPEN,LOW,2024-05-10 06:36:24
18,1790,397,System Connection Interruption Ticket Reference Ref #18,RESOLVED,CRITICAL,2022-10-03 11:53:49
19,956,816,System Connection Interruption Ticket Reference Ref #19,RESOLVED,HIGH,2025-08-29 11:08:47
20,1954,1188,System Connection Interruption Ticket Reference Ref #20,IN_PROGRESS,HIGH,2022-10-08 06:59:38
21,313,93,System Connection Interruption Ticket Reference Ref #21,OPEN,LOW,2022-01-02 15:56:07
22,914,1074,System Connection Interruption Ticket Reference Ref #22,OPEN,MEDIUM,2023-03-23 15:07:23
23,377,602,System Connection Interruption Ticket Reference Ref #23,RESOLVED,LOW,2021-06-27 19:43:35
24,1294,244,System Connection Interruption Ticket Reference Ref #24,OPEN,MEDIUM,2023-08-24 15:40:47
25,1359,338,System Connection Interruption Ticket Reference Ref #25,RESOLVED,MEDIUM,2024-10-30 14:27:17
26,1706,126,System Connection Interruption Ticket Reference Ref #26,OPEN,CRITICAL,2022-04-26 15:52:43
27,259,868,System Connection Interruption Ticket Reference Ref #27,OPEN,CRITICAL,2021-03-12 18:05:42
28,293,541,System Connection Interruption Ticket Reference Ref #28,IN_PROGRESS,MEDIUM,2025-03-27 00:50:10
29,275,271,System Connection Interruption Ticket Reference Ref #29,RESOLVED,HIGH,2023-11-14 23:21:59
30,646,60,System Connection Interruption Ticket Reference Ref #30,OPEN,CRITICAL,2021-08-05 05:39:08
31,1949,476,System Connection Interruption Ticket Reference Ref #31,IN_PROGRESS,MEDIUM,2024-04-02 16:22:41
32,26,203,System Connection Interruption Ticket Reference Ref #32,RESOLVED,HIGH,2023-12-03 23:23:37
33,1639,389,System Connection Interruption Ticket Reference Ref #33,CLOSED,LOW,2022-01-15 10:19:02
34,2313,322,System Connection Interruption Ticket Reference Ref #34,RESOLVED,MEDIUM,2023-04-29 12:31:13
35,2021,757,System Connection Interruption Ticket Reference Ref #35,CLOSED,MEDIUM,2025-08-31 05:19:23
36,2076,1116,System Connection Interruption Ticket Reference Ref #36,CLOSED,CRITICAL,2023-06-10 05:41:46
37,575,184,System Connection Interruption Ticket Reference Ref #37,RESOLVED,HIGH,2025-06-25 21:17:05
38,208,1058,System Connection Interruption Ticket Reference Ref #38,OPEN,MEDIUM,2025-11-07 04:48:35
39,1108,876,System Connection Interruption Ticket Reference Ref #39,RESOLVED,CRITICAL,2025-05-17 12:41:26
40,2174,520,System Connection Interruption Ticket Reference Ref #40,IN_PROGRESS,CRITICAL,2023-07-17 17:33:45
41,1365,680,System Connection Interruption Ticket Reference Ref #41,IN_PROGRESS,HIGH,2025-01-24 12:20:32
42,1120,323,System Connection Interruption Ticket Reference Ref #42,CLOSED,MEDIUM,2024-06-18 02:27:51
43,677,596,System Connection Interruption Ticket Reference Ref #43,CLOSED,CRITICAL,2023-08-20 01:07:03
44,502,665,System Connection Interruption Ticket Reference Ref #44,OPEN,HIGH,2024-01-13 12:27:05
45,1718,1041,System Connection Interruption Ticket Reference Ref #45,RESOLVED,LOW,2021-12-09 07:45:37
46,1309,12,System Connection Interruption Ticket Reference Ref #46,RESOLVED,MEDIUM,2025-05-02 09:41:49
47,1520,1029,System Connection Interruption Ticket Reference Ref #47,CLOSED,LOW,2025-03-16 13:11:41
48,25,280,System Connection Interruption Ticket Reference Ref #48,OPEN,HIGH,2024-04-13 19:09:54
49,1205,575,System Connection Interruption Ticket Reference Ref #49,RESOLVED,MEDIUM,2022-08-04 16:24:20
50,684,149,System Connection Interruption Ticket Reference Ref #50,IN_PROGRESS,HIGH,2022-01-01 03:57:52
51,1722,327,System Connection Interruption Ticket Reference Ref #51,RESOLVED,HIGH,2024-03-12 17:39:23
52,2126,467,System Connection Interruption Ticket Reference Ref #52,IN_PROGRESS,CRITICAL,2021-06-02 10:14:19
53,2179,215,System Connection Interruption Ticket Reference Ref #53,RESOLVED,HIGH,2022-10-11 04:22:07
54,1939,932,System Connection Interruption Ticket Reference Ref #54,CLOSED,HIGH,2023-02-27 11:28:29
55,1830,308,System Connection Interruption Ticket Reference Ref #55,OPEN,LOW,2024-12-17 14:33:28
56,1687,627,System Connection Interruption Ticket Reference Ref #56,IN_PROGRESS,LOW,2024-12-07 10:31:59
57,2426,382,System Connection Interruption Ticket Reference Ref #57,IN_PROGRESS,LOW,2024-03-13 06:03:10
58,1941,120,System Connection Interruption Ticket Reference Ref #58,CLOSED,HIGH,2022-09-10 07:27:26
59,1248,646,System Connection Interruption Ticket Reference Ref #59,CLOSED,MEDIUM,2023-11-18 07:28:14
60,1114,937,System Connection Interruption Ticket Reference Ref #60,OPEN,MEDIUM,2023-09-22 16:11:09
61,1852,1085,System Connection Interruption Ticket Reference Ref #61,RESOLVED,LOW,2025-08-06 01:44:11
62,128,327,System Connection Interruption Ticket Reference Ref #62,CLOSED,MEDIUM,2021-07-10 15:13:54
63,1803,1118,System Connection Interruption Ticket Reference Ref #63,OPEN,MEDIUM,2022-06-16 13:31:15
64,1192,512,System Connection Interruption Ticket Reference Ref #64,CLOSED,CRITICAL,2024-02-21 05:42:46
65,295,1013,System Connection Interruption Ticket Reference Ref #65,IN_PROGRESS,CRITICAL,2023-04-28 00:34:51
66,1813,980,System Connection Interruption Ticket Reference Ref #66,CLOSED,CRITICAL,2024-08-13 15:27:24
67,1582,778,System Connection Interruption Ticket Reference Ref #67,CLOSED,LOW,2023-08-01 20:28:12
68,1037,571,System Connection Interruption Ticket Reference Ref #68,OPEN,CRITICAL,2022-08-13 01:04:59
69,1836,990,System Connection Interruption Ticket Reference Ref #69,IN_PROGRESS,LOW,2025-09-24 03:19:09
70,523,325,System Connection Interruption Ticket Reference Ref #70,RESOLVED,MEDIUM,2021-09-02 22:20:04
71,171,1010,System Connection Interruption Ticket Reference Ref #71,OPEN,MEDIUM,2022-12-26 19:32:17
72,2053,1131,System Connection Interruption Ticket Reference Ref #72,IN_PROGRESS,LOW,2024-03-22 06:32:25
73,1797,743,System Connection Interruption Ticket Reference Ref #73,IN_PROGRESS,LOW,2021-05-04 04:03:56
74,882,771,System Connection Interruption Ticket Reference Ref #74,CLOSED,HIGH,2025-08-21 01:02:41
75,1258,1170,System Connection Interruption Ticket Reference Ref #75,OPEN,CRITICAL,2022-01-09 00:25:19
76,670,637,System Connection Interruption Ticket Reference Ref #76,RESOLVED,HIGH,2023-06-20 00:19:20
77,1563,32,System Connection Interruption Ticket Reference Ref #77,RESOLVED,HIGH,2022-08-11 21:37:54
78,2070,1021,System Connection Interruption Ticket Reference Ref #78,OPEN,HIGH,2023-05-28 19:04:45
79,1285,474,System Connection Interruption Ticket Reference Ref #79,OPEN,CRITICAL,2025-06-12 12:02:08
80,855,579,System Connection Interruption Ticket Reference Ref #80,OPEN,LOW,2023-11-29 02:22:50
81,1149,272,System Connection Interruption Ticket Reference Ref #81,IN_PROGRESS,CRITICAL,2021-11-12 04:18:51
82,1322,317,System Connection Interruption Ticket Reference Ref #82,RESOLVED,HIGH,2022-01-08 09:59:36
83,399,1082,System Connection Interruption Ticket Reference Ref #83,OPEN,LOW,2023-09-10 01:15:15
84,183,347,System Connection Interruption Ticket Reference Ref #84,RESOLVED,MEDIUM,2024-10-24 14:26:32
85,2490,1171,System Connection Interruption Ticket Reference Ref #85,CLOSED,HIGH,2021-11-27 03:02:40
86,1590,522,System Connection Interruption Ticket Reference Ref #86,RESOLVED,LOW,2025-03-13 10:20:14
87,1770,977,System Connection Interruption Ticket Reference Ref #87,RESOLVED,MEDIUM,2025-04-09 21:15:40
88,1955,870,System Connection Interruption Ticket Reference Ref #88,OPEN,LOW,2025-08-14 18:10:56
89,1554,494,System Connection Interruption Ticket Reference Ref #89,OPEN,MEDIUM,2024-05-22 01:15:40
90,879,242,System Connection Interruption Ticket Reference Ref #90,IN_PROGRESS,LOW,2023-12-05 01:52:50
91,2040,1124,System Connection Interruption Ticket Reference Ref #91,IN_PROGRESS,CRITICAL,2022-09-14 23:01:04
92,193,35,System Connection Interruption Ticket Reference Ref #92,RESOLVED,CRITICAL,2023-02-13 07:44:21
93,994,286,System Connection Interruption Ticket Reference Ref #93,OPEN,CRITICAL,2021-12-13 02:13:37
94,1787,337,System Connection Interruption Ticket Reference Ref #94,RESOLVED,MEDIUM,2024-06-23 12:43:15
95,270,242,System Connection Interruption Ticket Reference Ref #95,CLOSED,LOW,2023-10-27 13:04:04
96,2136,1019,System Connection Interruption Ticket Reference Ref #96,CLOSED,HIGH,2023-10-26 04:24:59
97,99,362,System Connection Interruption Ticket Reference Ref #97,IN_PROGRESS,CRITICAL,2021-08-22 20:11:45
98,194,400,System Connection Interruption Ticket Reference Ref #98,RESOLVED,CRITICAL,2025-05-06 01:24:34
99,1239,231,System Connection Interruption Ticket Reference Ref #99,OPEN,LOW,2025-11-15 10:44:05
100,771,418,System Connection Interruption Ticket Reference Ref #100,OPEN,CRITICAL,2024-07-27 15:11:58
101,1828,1117,System Connection Interruption Ticket Reference Ref #101,CLOSED,HIGH,2025-10-27 22:42:11
102,2030,693,System Connection Interruption Ticket Reference Ref #102,CLOSED,HIGH,2025-05-26 04:10:10
103,1138,811,System Connection Interruption Ticket Reference Ref #103,OPEN,LOW,2024-02-28 17:48:05
104,1758,672,System Connection Interruption Ticket Reference Ref #104,IN_PROGRESS,LOW,2021-02-01 03:55:31
105,2009,1001,System Connection Interruption Ticket Reference Ref #105,CLOSED,CRITICAL,2025-09-26 21:52:52
106,1645,650,System Connection Interruption Ticket Reference Ref #106,OPEN,MEDIUM,2022-12-25 16:25:37
107,129,1159,System Connection Interruption Ticket Reference Ref #107,OPEN,LOW,2024-09-28 23:48:13
