id,external_item_id,title,item_type,metadata_json
1,item_578ff68b_1,Eco Kit (Model 1),home_goods,"{""sku_reference"": ""SKU-527-1"", ""inventory_status"": ""in_stock"", ""margin_rating"": 0.35}"
2,item_a1a28a6d_2,Ergonomic Pack (Model 2),home_goods,"{""sku_reference"": ""SKU-551-2"", ""inventory_status"": ""in_stock"", ""margin_rating"": 0.2}"
3,item_e26e21b1_3,Ultra Apparel (Model 3),books,"{""sku_reference"": ""SKU-510-3"", ""inventory_status"": ""in_stock"", ""margin_rating"": 0.41}"
4,item_12b1a4fb_4,Premium Gear (Model 4),electronics,"{""sku_reference"": ""SKU-764-4"", ""inventory_status"": ""in_stock"", ""margin_rating"": 0.43}"
5,item_b723e889_5,Classic Kit (Model 5),electronics,"{""sku_reference"": ""SKU-800-5"", ""inventory_status"": ""in_stock"", ""margin_rating"": 0.6}"
6,item_f800df6f_6,Eco Device (Model 6),home_goods,"{""sku_reference"": ""SKU-696-6"", ""inventory_status"": ""in_stock"", ""margin_rating"": 0.21}"
7,item_9cc70b43_7,Vintage Device (Model 7),entertainment,"{""sku_reference"": ""SKU-501-7"", ""inventory_status"": ""low_stock"", ""margin_rating"": 0.17}"
8,item_393d00a4_8,Classic Pack (Model 8),electronics,"{""sku_reference"": ""SKU-734-8"", ""inventory_status"": ""in_stock"", ""margin_rating"": 0.45}"
9,item_ff41bf11_9,Premium Hub (Model 9),apparel,"{""sku_reference"": ""SKU-345-9"", ""inventory_status"": ""low_stock"", ""margin_rating"": 0.49}"
10,item_64886ab0_10,Classic Apparel (Model 10),books,"{""sku_reference"": ""SKU-711-10"", ""inventory_status"": ""in_stock"", ""margin_rating"": 0.5}"
11,item_21aecb0e_11,Wireless Pack (Model 11),entertainment,"{""sku_reference"": ""SKU-113-11"", ""inventory_status"": ""low_stock"", ""margin_rating"": 0.12}"
