id,profile_id,item_id,rank,reason,generated_at
1,1,823,1,Based on your recent viewing history,2026-03-03 17:07:19
2,1,546,2,Frequently purchased together with items in your cart,2026-03-01 13:49:52
3,1,1025,3,Trending item in your preferred category,2026-03-01 00:40:45
4,1,869,4,Highly rated by users with similar profiles,2026-03-01 06:14:44
5,1,1074,5,Based on your recent viewing history,2026-02-28 09:54:17
6,2,750,1,Highly rated by users with similar profiles,2026-05-18 21:14:44
7,2,1415,2,Trending item in your preferred category,2026-05-12 15:34:01
8,2,132,3,Trending item in your preferred category,2026-05-18 08:22:38
9,2,651,4,New arrival matching your brand affinities,2026-05-12 00:41:11
10,2,16,5,Highly rated by users with similar profiles,2026-05-18 14:09:24
11,3,345,1,Highly rated by users with similar profiles,2026-05-18 00:43:19
12,3,1453,2,Frequently purchased together with items in your cart,2026-05-23 16:37:12
13,3,1198,3,New arrival matching your brand affinities,2026-05-18 10:07:26
14,3,101,4,New arrival matching your brand affinities,2026-05-23 06:58:01
15,3,312,5,Frequently purchased together with items in your cart,2026-05-25 19:11:25
16,4,1107,1,New arrival matching your brand affinities,2026-05-16 05:37:13
17,4,1403,2,Highly rated by users with similar profiles,2026-05-18 09:26:03
18,4,1418,3,Based on your recent viewing history,2026-05-08 18:13:51
19,4,853,4,Based on your recent viewing history,2026-05-17 03:10:32
20,4,1208,5,Frequently purchased together with items in your cart,2026-05-18 02:44:07
21,5,396,1,Frequently purchased together with items in your cart,2026-04-21 19:00:02
22,5,1443,2,Based on your recent viewing history,2026-04-14 22:19:57
23,5,1196,3,Highly rated by users with similar profiles,2026-04-16 03:49:11
24,5,1185,4,Frequently purchased together with items in your cart,2026-04-24 07:51:54
25,5,938,5,Highly rated by users with similar profiles,2026-04-15 19:21:25
26,6,785,1,Trending item in your preferred category,2026-03-21 04:12:24
27,6,1116,2,Highly rated by users with similar profiles,2026-03-13 18:40:37
28,6,1486,3,Trending item in your preferred category,2026-03-19 13:36:36
29,6,577,4,New arrival matching your brand affinities,2026-03-16 23:13:32
30,6,865,5,New arrival matching your brand affinities,2026-03-18 09:19:17
31,7,618,1,Based on your recent viewing history,2026-05-04 05:49:24
32,7,1086,2,Frequently purchased together with items in your cart,2026-05-13 03:18:43
33,7,516,3,Based on your recent viewing history,2026-05-06 13:54:44
34,7,76,4,New arrival matching your brand affinities,2026-05-09 05:23:41
35,7,794,5,Frequently purchased together with items in your cart,2026-05-04 20:53:35
36,8,429,1,Highly rated by users with similar profiles,2026-03-22 20:51:36
37,8,981,2,Based on your recent viewing history,2026-03-19 08:50:18
38,8,1288,3,Trending item in your preferred category,2026-03-17 10:54:40
39,8,1267,4,Based on your recent viewing history,2026-03-21 20:17:11
40,8,268,5,Highly rated by users with similar profiles,2026-03-18 22:54:07
41,9,1349,1,Trending item in your preferred category,2026-04-02 02:03:35
42,9,812,2,New arrival matching your brand affinities,2026-03-30 10:52:20
43,9,971,3,New arrival matching your brand affinities,2026-04-06 03:47:48
44,9,1300,4,Frequently purchased together with items in your cart,2026-04-01 05:19:49
45,9,1274,5,New arrival matching your brand affinities,2026-04-01 07:00:39
46,10,1214,1,Based on your recent viewing history,2026-05-04 01:48:26
47,10,454,2,Highly rated by users with similar profiles,2026-04-28 14:26:43
48,10,103,3,New arrival matching your brand affinities,2026-05-01 10:49:11
49,10,221,4,Trending item in your preferred category,2026-04-26 16:30:24
50,10,759,5,Highly rated by users with similar profiles,2026-04-27 09:01:34
51,11,804,1,New arrival matching your brand affinities,2026-03-04 04:30:35
52,11,57,2,Trending item in your preferred category,2026-03-11 02:07:03
