id,crm_customer_id,order_number,status,total_cents,currency,placed_at
1,1,ORD-2024-0001-000,shipped,9998,USD,2024-09-29 00:10:52
2,2,ORD-2025-0002-000,cancelled,1565911,USD,2025-05-13 12:52:27
3,2,ORD-2025-0002-001,shipped,979951,USD,2025-05-12 09:21:19
4,2,ORD-2025-0002-002,shipped,844639,USD,2025-05-13 05:16:49
5,2,ORD-2025-0002-003,completed,234979,USD,2025-04-29 14:52:26
6,2,ORD-2025-0002-004,completed,516029,USD,2025-05-07 19:18:51
7,2,ORD-2025-0002-005,processing,299980,USD,2025-04-27 17:48:58
8,2,ORD-2025-0002-006,cancelled,1469918,USD,2025-05-12 03:57:58
9,2,ORD-2025-0002-007,processing,475956,USD,2025-05-06 12:32:02
10,2,ORD-2025-0002-008,completed,1054925,USD,2025-05-11 02:45:16
11,2,ORD-2025-0002-009,cancelled,1088336,USD,2025-05-08 18:39:54
12,2,ORD-2025-0002-010,cancelled,1402797,USD,2025-05-03 14:59:20
13,2,ORD-2025-0002-011,completed,620937,USD,2025-04-23 18:11:16
14,2,ORD-2025-0002-012,cancelled,768161,USD,2025-05-02 14:22:49
15,2,ORD-2025-0002-013,completed,1071902,USD,2025-04-25 15:03:15
16,2,ORD-2025-0002-014,completed,1377925,USD,2025-05-12 20:03:50
17,2,ORD-2025-0002-015,cancelled,1231600,USD,2025-05-14 13:33:52
18,2,ORD-2025-0002-016,shipped,712403,USD,2025-05-11 03:55:07
19,2,ORD-2025-0002-017,completed,1144116,USD,2025-05-10 15:19:33
20,2,ORD-2025-0002-018,shipped,370553,USD,2025-04-29 02:27:29
21,2,ORD-2025-0002-019,completed,152060,USD,2025-05-04 11:09:14
22,2,ORD-2025-0002-020,completed,729332,USD,2025-04-30 18:27:59
23,2,ORD-2025-0002-021,processing,292959,USD,2025-04-23 23:13:30
24,2,ORD-2025-0002-022,shipped,1208941,USD,2025-05-01 01:41:08
25,2,ORD-2025-0002-023,processing,1208895,USD,2025-05-07 02:09:25
