id,crm_customer_id,subject,status,priority,opened_at,closed_at
1,2,Delayed Delivery Investigation,pending,low,2025-05-07 00:20:25,
2,2,Defective Hardware Return,pending,critical,2025-05-17 13:24:52,
3,2,Subscription Tier Upgrade Error,open,normal,2025-05-18 05:04:26,
4,2,Payment Gateway Rejected,closed,low,2025-05-28 22:33:18,2025-06-01 05:36:01
5,2,Defective Hardware Return,closed,normal,2025-05-06 02:02:39,2025-05-10 21:53:19
6,2,Defective Hardware Return,closed,normal,2025-05-17 23:54:12,2025-05-21 16:31:33
7,2,Delayed Delivery Investigation,closed,low,2025-04-27 11:30:00,2025-05-01 04:06:25
8,2,Subscription Tier Upgrade Error,closed,critical,2025-05-29 00:11:19,2025-06-01 04:19:49
9,2,Account Access Reset Request,open,normal,2025-05-10 22:47:55,
10,3,Payment Gateway Rejected,pending,normal,2026-04-11 20:16:48,
11,6,Delayed Delivery Investigation,pending,normal,2025-02-16 09:05:51,
12,14,Payment Gateway Rejected,closed,normal,2024-09-22 00:51:25,2024-09-23 10:34:19
13,16,Payment Gateway Rejected,pending,normal,2025-01-16 02:07:05,
14,30,Payment Gateway Rejected,closed,normal,2025-11-21 16:00:39,2025-11-24 06:22:59
15,30,Account Access Reset Request,closed,normal,2025-10-21 21:42:23,2025-10-23 09:31:11
16,34,Payment Gateway Rejected,closed,normal,2024-07-28 17:30:14,2024-08-01 20:18:23
17,35,Account Access Reset Request,open,normal,2025-02-07 00:53:33,
18,38,Subscription Tier Upgrade Error,closed,normal,2025-01-20 03:07:32,2025-01-24 00:18:26
19,38,Subscription Tier Upgrade Error,closed,normal,2025-01-20 11:34:39,2025-01-21 06:52:47
20,40,Payment Gateway Rejected,open,normal,2025-03-15 02:15:04,
21,41,Defective Hardware Return,closed,normal,2024-08-06 03:45:39,2024-08-10 16:46:04
22,44,Delayed Delivery Investigation,closed,normal,2025-11-09 11:25:57,2025-11-11 20:15:17
23,47,Account Access Reset Request,closed,normal,2026-04-07 23:29:17,2026-04-09 17:56:39
24,53,Account Access Reset Request,closed,normal,2025-12-21 12:17:50,2025-12-23 04:28:41
25,54,Payment Gateway Rejected,closed,normal,2024-10-04 23:16:44,2024-10-07 11:07:14
26,56,Account Access Reset Request,closed,normal,2025-08-03 02:16:02,2025-08-08 00:54:33
27,57,Defective Hardware Return,closed,normal,2025-11-27 02:37:27,2025-12-01 22:15:07
28,61,Account Access Reset Request,closed,normal,2025-12-29 11:14:53,2026-01-01 18:35:08
29,63,Account Access Reset Request,closed,normal,2026-04-13 05:41:35,2026-04-17 14:53:17
30,67,Subscription Tier Upgrade Error,closed,normal,2024-08-08 20:24:51,2024-08-11 09:33:44
