id,crm_customer_id,username,last_login_at,marketing_opt_in
1,1,user_node_1,2026-06-10 17:25:24,0
2,2,user_node_2,2026-06-05 08:02:13,1
3,3,user_node_3,2026-06-08 03:27:16,1
4,4,user_node_4,2026-06-07 22:27:48,1
5,5,user_node_5,2026-06-11 00:31:15,0
6,6,user_node_6,2026-06-01 22:18:59,0
7,7,user_node_7,2026-06-10 22:46:44,1
8,8,user_node_8,2026-06-12 09:29:35,0
9,9,user_node_9,2026-06-03 03:19:13,1
10,10,user_node_10,2026-06-07 01:31:23,1
11,11,user_node_11,2026-06-08 18:50:22,1
12,12,user_node_12,2026-06-11 00:09:20,0
13,13,user_node_13,2026-06-02 12:08:44,1
14,14,user_node_14,2026-06-06 22:58:17,1
15,15,user_node_15,2026-06-10 20:37:03,0
16,16,user_node_16,2026-06-03 21:50:40,0
17,17,user_node_17,2026-06-05 11:42:34,0
18,19,user_node_19,2026-06-09 20:13:36,1
19,20,user_node_20,2026-06-11 15:48:01,1
20,21,user_node_21,2026-06-09 14:42:19,1
21,22,user_node_22,2026-06-10 14:05:11,0
22,24,user_node_24,2026-06-03 11:52:02,1
23,25,user_node_25,2026-06-09 18:29:29,1
24,27,user_node_27,2026-06-10 10:17:44,1
25,28,user_node_28,2026-06-03 19:49:13,0
26,30,user_node_30,2026-06-04 10:18:24,1
27,31,user_node_31,2026-06-07 01:17:59,1
28,32,user_node_32,2026-06-06 20:35:36,0
29,33,user_node_33,2026-06-01 14:37:19,1
30,34,user_node_34,2026-05-31 17:14:46,0
31,35,user_node_35,2026-06-02 01:46:40,0
32,36,user_node_36,2026-06-09 13:21:59,1
33,37,user_node_37,2026-06-02 14:38:48,0
34,38,user_node_38,2026-06-04 07:01:41,0
35,39,user_node_39,2026-06-07 08:16:11,0
36,40,user_node_40,2026-06-07 15:29:41,0
37,41,user_node_41,2026-06-07 19:39:46,0
38,42,user_node_42,2026-05-31 20:50:43,1
39,43,user_node_43,2026-06-06 19:37:57,1
40,44,user_node_44,2026-06-05 15:02:04,1
41,46,user_node_46,2026-05-30 07:25:47,0
42,47,user_node_47,2026-06-06 21:53:04,1
43,48,user_node_48,2026-06-10 13:38:00,1
44,49,user_node_49,2026-06-02 03:25:01,0
45,50,user_node_50,2026-05-31 03:04:19,1
46,51,user_node_51,2026-06-04 13:37:40,0
47,52,user_node_52,2026-06-07 15:49:42,0
48,53,user_node_53,2026-06-07 19:26:21,1
49,54,user_node_54,2026-06-11 16:35:36,1
50,55,user_node_55,2026-06-03 05:20:36,1
51,56,user_node_56,2026-06-08 17:23:56,1
52,57,user_node_57,2026-06-06 12:54:59,0
53,58,user_node_58,2026-06-01 16:14:48,1
54,59,user_node_59,2026-05-31 01:30:39,1
55,60,user_node_60,2026-06-08 21:17:24,0
56,61,user_node_61,2026-05-31 20:44:40,1
57,62,user_node_62,2026-06-05 04:05:31,1
58,64,user_node_64,2026-06-02 18:44:37,1
59,65,user_node_65,2026-06-04 11:43:02,1
60,66,user_node_66,2026-06-10 05:20:35,1
61,67,user_node_67,2026-06-08 07:12:03,1
62,68,user_node_68,2026-06-06 20:20:29,1
63,70,user_node_70,2026-06-09 15:51:00,1
64,71,user_node_71,2026-06-08 10:45:42,0
65,72,user_node_72,2026-05-29 18:23:31,0
66,73,user_node_73,2026-05-31 12:39:05,1
67,74,user_node_74,2026-06-12 13:31:48,1
68,75,user_node_75,2026-05-31 20:54:14,1
69,76,user_node_76,2026-06-04 23:06:05,1
70,77,user_node_77,2026-06-10 16:58:16,1
71,78,user_node_78,2026-06-10 00:53:01,1
72,79,user_node_79,2026-06-08 13:02:15,1
73,80,user_node_80,2026-06-06 03:17:37,1
74,81,user_node_81,2026-06-11 09:25:01,0
75,82,user_node_82,2026-06-07 21:58:07,0
76,83,user_node_83,2026-06-08 23:43:43,1
77,84,user_node_84,2026-06-06 10:27:58,1
78,85,user_node_85,2026-06-07 08:37:08,0
79,86,user_node_86,2026-06-01 21:23:32,1
80,87,user_node_87,2026-06-09 16:35:35,1
81,88,user_node_88,2026-06-02 22:20:46,0
82,89,user_node_89,2026-06-03 18:57:02,1
83,90,user_node_90,2026-06-03 18:27:16,0
84,91,user_node_91,2026-06-09 21:21:56,0
85,92,user_node_92,2026-06-05 12:15:22,0
86,93,user_node_93,2026-06-07 13:25:18,1
87,94,user_node_94,2026-06-04 06:07:56,1
88,95,user_node_95,2026-06-02 23:54:54,0
89,96,user_node_96,2026-06-08 11:00:04,1
90,97,user_node_97,2026-06-11 13:12:18,1
91,98,user_node_98,2026-06-03 00:23:03,1
92,100,user_node_100,2026-06-03 11:33:50,1
93,101,user_node_101,2026-06-04 02:14:20,1
94,102,user_node_102,2026-06-03 22:20:12,0
95,103,user_node_103,2026-06-03 15:40:11,1
96,104,user_node_104,2026-06-02 14:35:15,0
97,105,user_node_105,2026-06-12 08:05:14,0
98,106,user_node_106,2026-06-11 07:54:13,0
99,107,user_node_107,2026-06-02 21:39:54,0
100,108,user_node_108,2026-06-06 08:24:34,0
101,112,user_node_112,2026-06-02 08:56:00,1
102,113,user_node_113,2026-06-07 22:10:30,1
103,114,user_node_114,2026-06-01 16:40:43,0
104,115,user_node_115,2026-06-10 17:41:54,0
105,116,user_node_116,2026-06-11 00:38:22,0
106,117,user_node_117,2026-06-06 00:50:19,1
107,118,user_node_118,2026-06-09 23:37:32,0
108,119,user_node_119,2026-06-11 03:48:09,1
109,120,user_node_120,2026-06-10 18:08:30,1
110,121,user_node_121,2026-06-08 00:10:23,1
111,122,user_node_122,2026-06-10 14:50:08,1
112,123,user_node_123,2026-06-11 08:36:28,1
113,124,user_node_124,2026-06-11 22:05:31,0
114,125,user_node_125,2026-06-10 05:19:42,0
115,127,user_node_127,2026-05-31 20:15:21,1
116,128,user_node_128,2026-06-12 05:49:10,0
117,130,user_node_130,2026-05-29 22:58:59,1
118,131,user_node_131,2026-06-04 07:13:32,1
119,132,user_node_132,2026-06-12 11:21:44,1
120,133,user_node_133,2026-06-08 11:41:59,0
121,134,user_node_134,2026-06-08 22:17:27,1
122,135,user_node_135,2026-06-07 08:40:57,0
123,136,user_node_136,2026-06-04 00:49:00,1
124,137,user_node_137,2026-06-05 08:25:08,1
125,139,user_node_139,2026-06-01 12:05:00,0
126,141,user_node_141,2026-06-01 21:02:52,0
127,143,user_node_143,2026-06-09 11:10:48,1
128,145,user_node_145,2026-06-11 01:19:56,1
129,146,user_node_146,2026-06-05 05:29:42,1
130,147,user_node_147,2026-06-04 00:37:51,1
131,148,user_node_148,2026-05-30 06:33:37,0
132,149,user_node_149,2026-06-02 05:39:56,1
133,150,user_node_150,2026-06-06 04:31:43,0
134,151,user_node_151,2026-06-07 21:39:09,1
135,153,user_node_153,2026-05-29 16:43:44,0
136,156,user_node_156,2026-05-30 09:05:00,0
137,157,user_node_157,2026-06-03 09:43:54,1
138,158,user_node_158,2026-06-01 12:08:05,1
139,159,user_node_159,2026-06-02 15:03:53,0
140,161,user_node_161,2026-05-30 23:58:19,1
141,162,user_node_162,2026-06-11 09:42:43,1
142,163,user_node_163,2026-06-10 09:49:02,1
143,164,user_node_164,2026-06-05 10:15:05,1
144,165,user_node_165,2026-06-08 12:18:21,0
145,166,user_node_166,2026-06-01 00:10:47,0
146,167,user_node_167,2026-06-07 12:15:09,0
147,168,user_node_168,2026-06-06 10:08:14,0
148,169,user_node_169,2026-06-02 02:13:06,1
149,170,user_node_170,2026-05-31 12:00:09,1
150,171,user_node_171,2026-06-11 14:12:38,1
151,172,user_node_172,2026-06-04 16:27:53,1
152,173,user_node_173,2026-06-06 11:13:10,1
153,175,user_node_175,2026-06-05 17:55:17,0
154,176,user_node_176,2026-06-09 01:33:06,1
155,177,user_node_177,2026-06-03 22:02:36,1
156,178,user_node_178,2026-06-05 10:19:38,1
157,179,user_node_179,2026-06-01 07:18:02,1
158,182,user_node_182,2026-06-07 09:58:26,1
159,183,user_node_183,2026-05-31 08:34:40,1
160,184,user_node_184,2026-06-12 12:23:03,0
161,185,user_node_185,2026-06-11 19:15:09,1
162,186,user_node_186,2026-05-29 16:26:15,1
163,187,user_node_187,2026-06-03 12:59:18,1
164,188,user_node_188,2026-06-05 04:49:09,0
165,189,user_node_189,2026-06-12 00:22:58,1
166,190,user_node_190,2026-06-04 16:20:43,0
167,191,user_node_191,2026-06-01 18:38:38,1
168,192,user_node_192,2026-06-03 05:48:02,1
169,193,user_node_193,2026-06-05 22:25:10,1
170,194,user_node_194,2026-06-12 01:37:19,0
171,195,user_node_195,2026-06-02 22:30:47,0
172,196,user_node_196,2026-06-10 15:48:21,0
173,197,user_node_197,2026-06-07 03:48:16,0
174,198,user_node_198,2026-06-05 20:12:44,0
175,199,user_node_199,2026-05-30 15:37:15,1
176,201,user_node_201,2026-06-07 14:58:49,1
177,202,user_node_202,2026-06-06 08:49:15,1
178,203,user_node_203,2026-06-11 11:10:33,1
179,204,user_node_204,2026-05-29 19:26:01,0
180,205,user_node_205,2026-06-10 11:27:59,0
181,206,user_node_206,2026-06-03 08:46:00,1
182,207,user_node_207,2026-06-08 15:57:35,0
183,209,user_node_209,2026-06-07 23:48:35,1
184,210,user_node_210,2026-05-29 23:51:23,0
185,211,user_node_211,2026-06-01 16:58:00,1
186,212,user_node_212,2026-06-11 05:32:07,0
187,213,user_node_213,2026-06-01 03:34:20,0
188,215,user_node_215,2026-05-30 03:34:48,0
189,216,user_node_216,2026-05-31 12:25:04,1
190,217,user_node_217,2026-06-10 00:09:30,0
191,219,user_node_219,2026-06-11 22:15:56,0
192,221,user_node_221,2026-06-04 11:52:40,1
193,222,user_node_222,2026-06-09 15:07:06,1
194,223,user_node_223,2026-06-01 17:46:26,0
195,224,user_node_224,2026-05-30 14:34:24,1
196,225,user_node_225,2026-05-31 09:26:32,1
197,226,user_node_226,2026-06-10 01:24:26,1
198,227,user_node_227,2026-06-11 13:56:48,1
199,228,user_node_228,2026-06-09 10:11:32,0
200,229,user_node_229,2026-06-10 19:04:48,0
201,230,user_node_230,2026-06-08 21:13:16,1
202,231,user_node_231,2026-06-03 22:18:19,1
203,232,user_node_232,2026-06-11 18:25:03,1
204,233,user_node_233,2026-06-11 10:35:29,1
205,234,user_node_234,2026-05-31 03:38:04,1
